operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	0	1151	1	2773	Aved_18-Q3-R54-62_BAT3C.448_02773	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	1151	0
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	1141	2931	1	2774	Aved_18-Q3-R54-62_BAT3C.448_02774	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	2931	1141
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	2928	4058	1	2775	Aved_18-Q3-R54-62_BAT3C.448_02775	epsH	27.731	238	160	5	5	240	12	239	2.79e-44	161	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY	start	Aved_18-Q3-R54-62_BAT3C.448	3645	2964
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	4154	4903	-1	2776	Aved_18-Q3-R54-62_BAT3C.448_02776	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	4903	4154
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	4900	5535	-1	2777	Aved_18-Q3-R54-62_BAT3C.448_02777	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	5535	4900
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	5915	6544	-1	2778	Aved_18-Q3-R54-62_BAT3C.448_02778	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	6544	5915
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	6569	7549	-1	2779	Aved_18-Q3-R54-62_BAT3C.448_02779	epsJ	23.81	210	145	5	3	211	6	201	5.6e-34	132	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY	.	Aved_18-Q3-R54-62_BAT3C.448	7172	6587
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	7558	8418	-1	2780	Aved_18-Q3-R54-62_BAT3C.448_02780	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	8418	7558
7	Aved_18-Q3-R54-62_BAT3C.448	tig00020836-10-1427180	2779	2775	tig00020836-10-1427180	8438	9148	-1	2781	Aved_18-Q3-R54-62_BAT3C.448_02781	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	NA	NA	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.448	9148	8438
9	Aved_18-Q3-R54-62_BAT3C.518	tig00374057-10-8991090	3389	3382	tig00374057-10-8991090	0	281	-1	3380	Aved_18-Q3-R54-62_BAT3C.518_03380	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	NA	NA	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.518	281	0
