operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	0	1259	-1	3232	EsbW_18-Q3-R4-48_BAT3C.93_03232	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	1259	0
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	1256	2050	-1	3233	EsbW_18-Q3-R4-48_BAT3C.93_03233	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	2050	1256
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	2110	3285	-1	3234	EsbW_18-Q3-R4-48_BAT3C.93_03234	pslI	20.051	389	261	14	1	366	10	371	1.14e-30	126	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	start	EsbW_18-Q3-R4-48_BAT3C.93	3223	2140
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	3837	5810	1	3235	EsbW_18-Q3-R4-48_BAT3C.93_03235	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	5810	3837
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	5917	6201	-1	3236	EsbW_18-Q3-R4-48_BAT3C.93_03236	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	6201	5917
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	6523	8859	1	3237	EsbW_18-Q3-R4-48_BAT3C.93_03237	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	8859	6523
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	9053	9128	-1	3238	EsbW_18-Q3-R4-48_BAT3C.93_03238	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	9128	9053
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	9237	10835	-1	3239	EsbW_18-Q3-R4-48_BAT3C.93_03239	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	10835	9237
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	11373	12596	1	3240	EsbW_18-Q3-R4-48_BAT3C.93_03240	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	12596	11373
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	12872	14257	-1	3241	EsbW_18-Q3-R4-48_BAT3C.93_03241	pslA	25.586	469	329	10	16	477	5	460	1.77e-76	252	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	PE	NA	EsbW_18-Q3-R4-48_BAT3C.93	14252	12887
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	14903	16153	1	3242	EsbW_18-Q3-R4-48_BAT3C.93_03242	pslH	28.993	407	278	6	1	401	7	408	2.37e-103	317	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	NA	EsbW_18-Q3-R4-48_BAT3C.93	16127	14924
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	16226	18052	1	3243	EsbW_18-Q3-R4-48_BAT3C.93_03243	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	18052	16226
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	18118	19041	-1	3244	EsbW_18-Q3-R4-48_BAT3C.93_03244	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	19041	18118
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	19046	20716	-1	3245	EsbW_18-Q3-R4-48_BAT3C.93_03245	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	20716	19046
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	20784	21740	-1	3246	EsbW_18-Q3-R4-48_BAT3C.93_03246	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	21740	20784
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	21753	23306	-1	3247	EsbW_18-Q3-R4-48_BAT3C.93_03247	pslE	20.821	341	228	9	141	456	101	424	5.85e-08	62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	Polymerization	NA	EsbW_18-Q3-R4-48_BAT3C.93	23025	22056
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	23419	24054	-1	3248	EsbW_18-Q3-R4-48_BAT3C.93_03248	pslD	20.27	222	146	5	5	223	18	211	3.6e-43	150	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	Export	NA	EsbW_18-Q3-R4-48_BAT3C.93	24052	23473
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	24334	25296	1	3249	EsbW_18-Q3-R4-48_BAT3C.93_03249	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	25296	24334
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	26014	27261	1	3250	EsbW_18-Q3-R4-48_BAT3C.93_03250	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	27261	26014
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	27778	28500	1	3251	EsbW_18-Q3-R4-48_BAT3C.93_03251	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	28500	27778
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	28522	29967	-1	3252	EsbW_18-Q3-R4-48_BAT3C.93_03252	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	29967	28522
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	30343	31674	-1	3253	EsbW_18-Q3-R4-48_BAT3C.93_03253	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	31674	30343
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	32042	33169	1	3254	EsbW_18-Q3-R4-48_BAT3C.93_03254	pslF	22.944	231	144	7	168	391	169	372	7.35e-27	115	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	NA	EsbW_18-Q3-R4-48_BAT3C.93	33158	32549
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	33166	33300	-1	3255	EsbW_18-Q3-R4-48_BAT3C.93_03255	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	33300	33166
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	33382	34266	-1	3256	EsbW_18-Q3-R4-48_BAT3C.93_03256	pslC	21.875	192	132	5	3	189	7	185	1.96e-28	116	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	NA	EsbW_18-Q3-R4-48_BAT3C.93	33937	33403
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	34411	35472	-1	3257	EsbW_18-Q3-R4-48_BAT3C.93_03257	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	35472	34411
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	35633	36970	-1	3258	EsbW_18-Q3-R4-48_BAT3C.93_03258	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	36970	35633
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	37035	38123	-1	3259	EsbW_18-Q3-R4-48_BAT3C.93_03259	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	NA	NA	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	NA	NA	NA	NA	NA	EsbW_18-Q3-R4-48_BAT3C.93	38123	37035
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	38155	39333	-1	3260	EsbW_18-Q3-R4-48_BAT3C.93_03260	pslI	20.539	297	201	10	91	367	96	377	8.38e-22	101	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	NA	EsbW_18-Q3-R4-48_BAT3C.93	39286	38443
6011	EsbW_18-Q3-R4-48_BAT3C.93	tig00000038-10-43439960	3261	3234	tig00000038-10-43439960	39432	40397	-1	3261	EsbW_18-Q3-R4-48_BAT3C.93_03261	pslC	23	200	144	3	3	193	7	205	4.67e-28	115	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	ESV484.1517;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:B1-7BS,g:midas_g_190,s:midas_s_484;	99.9	1517	FPLP01000724.17.1338 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS;metagenome	99.8	1322	NA	GT	NA	EsbW_18-Q3-R4-48_BAT3C.93	40047	39453
