ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.258_sub	15	neuD	Aved_18-Q3-R54-62_BAT3C.258_sub_01937	1937	23.841	151	82	2	102	219	4	154	1.67e-33	124	tig00003990-10-8282550	717370	717939	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	MOD	start	Aved_18-Q3-R54-62_BAT3C.258_sub
Aved_18-Q3-R54-62_BAT3C.258_sub	15	neuA	Aved_18-Q3-R54-62_BAT3C.258_sub_01938	1938	25.214	234	165	6	120	343	1	234	1.81e-60	200	tig00003990-10-8282550	718134	718943	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	MOD	NA	Aved_18-Q3-R54-62_BAT3C.258_sub
Aved_18-Q3-R54-62_BAT3C.302	32	neuD	Aved_18-Q3-R54-62_BAT3C.302_01766	1766	21.762	193	149	2	12	203	112	303	1.12e-27	112	tig00008942-10-4052240	41503	42483	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	MOD	start	Aved_18-Q3-R54-62_BAT3C.302
Aved_18-Q3-R54-62_BAT3C.302	32	neuC	Aved_18-Q3-R54-62_BAT3C.302_01768	1768	29.907	107	63	2	28	131	34	131	0.000307	48.9	tig00008942-10-4052240	43127	44299	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	PS	NA	Aved_18-Q3-R54-62_BAT3C.302
Aved_18-Q3-R54-62_BAT3C.309	50	neuD	Aved_18-Q3-R54-62_BAT3C.309_00695	695	21.019	157	103	3	59	200	91	241	1.64e-06	53.6	tig00005713-10-6381380	568691	569530	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD	start	Aved_18-Q3-R54-62_BAT3C.309_A
Aved_18-Q3-R54-62_BAT3C.309	50	neuA	Aved_18-Q3-R54-62_BAT3C.309_00700	700	22.414	58	37	3	1	50	1	58	0.000149	47.8	tig00005713-10-6381380	577761	578633	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD	NA	Aved_18-Q3-R54-62_BAT3C.309_A
Aved_18-Q3-R54-62_BAT3C.309	54	neuD	Aved_18-Q3-R54-62_BAT3C.309_00765	765	21.302	169	110	6	72	221	196	360	7.86e-12	69.4	tig00005738-10-170210	5577	6686	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD	start	Aved_18-Q3-R54-62_BAT3C.309_B
Aved_18-Q3-R54-62_BAT3C.309	54	neuA	Aved_18-Q3-R54-62_BAT3C.309_00766	766	21.212	66	49	1	5	67	3	68	1.52e-12	67.1	tig00005738-10-170210	6653	6937	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD	NA	Aved_18-Q3-R54-62_BAT3C.309_B
Aved_18-Q3-R54-62_BAT3C.309	68	neuA	Aved_18-Q3-R54-62_BAT3C.309_04106	4106	25.726	241	153	5	120	337	1	238	7.38e-51	175	tig01608090-10-7225250	156242	157012	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD	start	Aved_18-Q3-R54-62_BAT3C.309_C
Aved_18-Q3-R54-62_BAT3C.309	68	neuB	Aved_18-Q3-R54-62_BAT3C.309_04112	4112	20.115	348	257	8	20	356	9	346	1.01e-77	248	tig01608090-10-7225250	163550	164641	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	SY	NA	Aved_18-Q3-R54-62_BAT3C.309_C
