operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	0	251	-1	3042	Bjer_18-Q3-R1-45_MAXAC.014_03042	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	NA	NA	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_MAXAC.014	251	0
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	435	836	-1	3043	Bjer_18-Q3-R1-45_MAXAC.014_03043	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	NA	NA	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_MAXAC.014	836	435
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	1033	2925	1	3044	Bjer_18-Q3-R1-45_MAXAC.014_03044	pgaA	27.411	591	414	5	220	807	52	630	0	589	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	Export	start	Bjer_18-Q3-R1-45_MAXAC.014	2923	1189
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	2913	4457	1	3045	Bjer_18-Q3-R1-45_MAXAC.014_03045	pgaB	37.158	366	217	6	49	412	24	378	1.29e-118	369	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	MOD	NA	Bjer_18-Q3-R1-45_MAXAC.014	4047	2985
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	4464	4955	1	3046	Bjer_18-Q3-R1-45_MAXAC.014_03046	pgaC	44.828	145	79	1	30	174	14	157	2.8e-39	144	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	SY	NA	Bjer_18-Q3-R1-45_MAXAC.014	4935	4506
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	4930	5754	1	3047	Bjer_18-Q3-R1-45_MAXAC.014_03047	pgaC	52.157	255	122	0	184	438	11	265	3.29e-87	272	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	SY	NA	Bjer_18-Q3-R1-45_MAXAC.014	5725	4963
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	5700	6194	1	3048	Bjer_18-Q3-R1-45_MAXAC.014_03048	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	NA	NA	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_MAXAC.014	6194	5700
1080	Bjer_18-Q3-R1-45_MAXAC.014	tig00013944-10-761410	3047	3044	tig00013944-10-761410	6396	6764	1	3049	Bjer_18-Q3-R1-45_MAXAC.014_03049	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	NA	NA	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_MAXAC.014	6764	6396
2292	EsbE_18-Q3-R3-47_BAT3C.110	tig00004325-10-2346120	2225	2223	tig00004325-10-2346120	0	527	-1	2221	EsbE_18-Q3-R3-47_BAT3C.110_02221	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2192;g__;s__	ESV1266.1490;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Syntrophobacterales,f:Syntrophaceae,g:midas_g_134,s:midas_s_1266;	NA	NA	JQ668578.1.1572 Bacteria;Desulfobacterota;Syntrophia;Syntrophales;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	EsbE_18-Q3-R3-47_BAT3C.110	527	0
2292	EsbE_18-Q3-R3-47_BAT3C.110	tig00004325-10-2346120	2225	2223	tig00004325-10-2346120	563	1396	-1	2222	EsbE_18-Q3-R3-47_BAT3C.110_02222	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2192;g__;s__	ESV1266.1490;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Syntrophobacterales,f:Syntrophaceae,g:midas_g_134,s:midas_s_1266;	NA	NA	JQ668578.1.1572 Bacteria;Desulfobacterota;Syntrophia;Syntrophales;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	EsbE_18-Q3-R3-47_BAT3C.110	1396	563
