ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_MAXAC.126	44	icaB	Aved_18-Q3-R54-62_MAXAC.126_02889	2889	21.186	236	148	7	45	271	3	209	8.45e-50	170	tig00004441-10-6364520	276084	276833	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	100	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	98.5	1490	NA	MOD	start	Aved_18-Q3-R54-62_MAXAC.126
Aved_18-Q3-R54-62_MAXAC.126	44	icaA	Aved_18-Q3-R54-62_MAXAC.126_02890	2890	21.277	235	164	6	47	269	6	231	1.76e-29	123	tig00004441-10-6364520	276830	277948	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	100	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	98.5	1490	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.126
Aved_18-Q3-R54-62_MAXAC.248_sub	50	icaA	Aved_18-Q3-R54-62_MAXAC.248_sub_04068	4068	21.007	457	305	9	1	401	9	465	8.71e-59	204	tig00005456-10-5182910	320925	322352	+	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	99.9	1441	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	98.3	1508	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.248_sub
Aved_18-Q3-R54-62_MAXAC.248_sub	50	icaB	Aved_18-Q3-R54-62_MAXAC.248_sub_04072	4072	26.712	146	91	5	115	260	224	353	1.1e-24	108	tig00005456-10-5182910	327781	329082	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	99.9	1441	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	98.3	1508	NA	MOD	.	Aved_18-Q3-R54-62_MAXAC.248_sub
Aved_18-Q3-R54-62_MAXAC.297	59	icaB	Aved_18-Q3-R54-62_MAXAC.297_01790	1790	20.33	182	128	4	112	285	790	962	1.31e-17	89	tig00008919-10-4700140	259110	262442	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__;s__	ESV137.1441;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_137;	97.4	1443	FPLP01006554.11.1509 Bacteria;Bacteroidota;SJA-28;metagenome	97.3	1501	NA	MOD	start	Aved_18-Q3-R54-62_MAXAC.297
Aved_18-Q3-R54-62_MAXAC.297	59	icaA	Aved_18-Q3-R54-62_MAXAC.297_01792	1792	20.455	484	301	10	5	411	4	480	1.92e-48	177	tig00008919-10-4700140	263554	265035	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__;s__	ESV137.1441;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_137;	97.4	1443	FPLP01006554.11.1509 Bacteria;Bacteroidota;SJA-28;metagenome	97.3	1501	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.297
Bjer_18-Q3-R1-45_BATAC.43	88	icaA	Bjer_18-Q3-R1-45_BATAC.43_03735	3735	21.788	179	121	5	48	223	2	164	5.2e-18	86.6	tig00858158-10-2205830	97954	98475	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__	ESV402.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_300,s:midas_s_364;	99.8	1445	FPLL01005967.15.1517 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	98.7	1503	0.22912572	SY	start	Bjer_18-Q3-R1-45_BATAC.43
Bjer_18-Q3-R1-45_BATAC.43	88	icaB	Bjer_18-Q3-R1-45_BATAC.43_03737	3737	26.897	145	86	5	26	168	11	137	3.55e-24	104	tig00858158-10-2205830	99890	100738	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__	ESV402.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_300,s:midas_s_364;	99.8	1445	FPLL01005967.15.1517 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	98.7	1503	0.22912572	MOD	.	Bjer_18-Q3-R1-45_BATAC.43
Bjer_18-Q3-R1-45_MAXAC.011	92	icaA	Bjer_18-Q3-R1-45_MAXAC.011_01933	1933	27.35	117	82	1	48	161	11	127	3.1e-22	101	tig00199983-10-9104530	698061	698879	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV6170.1458;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:midas_s_6170;	98.6	1460	FPLP01010706.9.1526 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99	1518	NA	SY	start	Bjer_18-Q3-R1-45_MAXAC.011
Bjer_18-Q3-R1-45_MAXAC.011	92	icaB	Bjer_18-Q3-R1-45_MAXAC.011_01934	1934	20.312	64	46	1	225	283	1	64	0.00085	42.8	tig00199983-10-9104530	699528	699740	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV6170.1458;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:midas_s_6170;	98.6	1460	FPLP01010706.9.1526 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99	1518	NA	MOD	.	Bjer_18-Q3-R1-45_MAXAC.011
