operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	0	947	1	4518	Aved_18-Q3-R54-62_BAT3C.394_04518	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	947	0
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	1019	1471	1	4519	Aved_18-Q3-R54-62_BAT3C.394_04519	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	1471	1019
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	1581	2666	1	4520	Aved_18-Q3-R54-62_BAT3C.394_04520	rmlB	56.765	340	145	2	7	344	3	342	2.65e-135	394	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	start	Aved_18-Q3-R54-62_BAT3C.394	2607	1590
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	1581	2666	1	4520	Aved_18-Q3-R54-62_BAT3C.394_04520	rmlB	56.765	340	145	2	7	344	3	342	2.65e-135	394	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	2607	1590
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	2663	3553	1	4521	Aved_18-Q3-R54-62_BAT3C.394_04521	rmlD	42.568	296	161	3	1	287	1	296	4.14e-95	287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	3551	2666
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	2663	3553	1	4521	Aved_18-Q3-R54-62_BAT3C.394_04521	rmlD	42.568	296	161	3	1	287	1	296	4.14e-95	287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	3551	2666
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	3550	4461	1	4522	Aved_18-Q3-R54-62_BAT3C.394_04522	rmlA	63.542	288	102	2	2	289	10	294	2.63e-132	382	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	4432	3580
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	3550	4461	1	4522	Aved_18-Q3-R54-62_BAT3C.394_04522	rmlA	63.542	288	102	2	2	289	10	294	2.63e-132	382	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	.	Aved_18-Q3-R54-62_BAT3C.394	4432	3580
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	4458	5003	1	4523	Aved_18-Q3-R54-62_BAT3C.394_04523	rmlC	47.458	177	89	4	2	177	1	174	5.01e-88	261	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	4980	4461
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	4458	5003	1	4523	Aved_18-Q3-R54-62_BAT3C.394_04523	rmlC	47.458	177	89	4	2	177	1	174	5.01e-88	261	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	.	Aved_18-Q3-R54-62_BAT3C.394	4980	4461
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	5017	8985	1	4524	Aved_18-Q3-R54-62_BAT3C.394_04524	gelQ	20.339	236	172	5	8	234	590	818	6.98e-38	148	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	GT	.	Aved_18-Q3-R54-62_BAT3C.394	7471	6787
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	9000	10217	-1	4525	Aved_18-Q3-R54-62_BAT3C.394_04525	atrB	22.458	236	162	6	495	728	42	258	3.42e-11	72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	.	Aved_18-Q3-R54-62_BAT3C.394	9774	9126
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	9000	10217	-1	4525	Aved_18-Q3-R54-62_BAT3C.394_04525	atrB	22.458	236	162	6	495	728	42	258	3.42e-11	72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	.	Aved_18-Q3-R54-62_BAT3C.394	9774	9126
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	9000	10217	-1	4525	Aved_18-Q3-R54-62_BAT3C.394_04525	atrB	22.458	236	162	6	495	728	42	258	3.42e-11	72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	.	Aved_18-Q3-R54-62_BAT3C.394	9774	9126
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	10266	11006	-1	4526	Aved_18-Q3-R54-62_BAT3C.394_04526	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	11006	10266
1192	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	4525	4520	tig01608118-10-14295950	10999	11676	-1	4527	Aved_18-Q3-R54-62_BAT3C.394_04527	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	11676	10999
2395	Aved_18-Q3-R54-62_BAT3C.633	tig00014682-10-2749010	1177	1168	tig00014682-10-2749010	0	932	-1	1166	Aved_18-Q3-R54-62_BAT3C.633_01166	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	NA	NA	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.633	932	0
2395	Aved_18-Q3-R54-62_BAT3C.633	tig00014682-10-2749010	1177	1168	tig00014682-10-2749010	1022	2200	1	1167	Aved_18-Q3-R54-62_BAT3C.633_01167	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	NA	NA	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.633	2200	1022
2395	Aved_18-Q3-R54-62_BAT3C.633	tig00014682-10-2749010	1177	1168	tig00014682-10-2749010	2225	3331	1	1168	Aved_18-Q3-R54-62_BAT3C.633_01168	rmlA	33.456	272	166	5	1	260	1	269	7.4e-66	215	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	PS	start	Aved_18-Q3-R54-62_BAT3C.633	3032	2228
