ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BATAC.490	4601	dpsM	Aved_18-Q3-R54-62_BATAC.490_02122	2122	43.841	276	153	1	18	293	17	290	2.73e-57	190	tig00373198-10-16596610	583389	584270	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	PE	start	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsN	Aved_18-Q3-R54-62_BATAC.490_02123	2123	37.9	219	135	1	2	220	15	232	2.86e-74	230	tig00373198-10-16596610	584260	584964	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	PE	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsI	Aved_18-Q3-R54-62_BATAC.490_02125	2125	38.732	284	166	4	3	285	6	282	7.81e-81	250	tig00373198-10-16596610	585339	586190	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsL	Aved_18-Q3-R54-62_BATAC.490_02131	2131	22.979	235	158	10	8	230	18	241	1.04e-21	98.4	tig00373198-10-16596610	591935	592948	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsS	Aved_18-Q3-R54-62_BATAC.490_02132	2132	22.581	279	210	4	31	306	162	437	4.92e-36	141	tig00373198-10-16596610	592945	594297	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	PE	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsL	Aved_18-Q3-R54-62_BATAC.490_02136	2136	21.324	272	204	4	6	269	7	276	6.11e-27	112	tig00373198-10-16596610	596905	597927	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsB	Aved_18-Q3-R54-62_BATAC.490_02143	2143	28.395	486	317	8	14	470	2	485	1.04e-77	256	tig00373198-10-16596610	605926	607383	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsD	Aved_18-Q3-R54-62_BATAC.490_02146	2146	23.656	186	131	2	57	231	15	200	2.85e-32	123	tig00373198-10-16596610	609259	609861	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	PE	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	4601	dpsE	Aved_18-Q3-R54-62_BATAC.490_02149	2149	23.305	236	173	5	3	235	22	252	1.54e-52	176	tig00373198-10-16596610	612567	613385	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	PE	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_MAXAC.010	7209	dpsL	Aved_18-Q3-R54-62_MAXAC.010_03684	3684	23.618	199	142	4	2	193	4	199	6.12e-18	87.6	tig00373584-10-4330010	415913	416842	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV81.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Leptothrix,s:midas_s_81;	100	1451	FPLP01003697.16.1524 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;metagenome	99.9	1509	NA	GT	start	Aved_18-Q3-R54-62_MAXAC.010
