ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.633	1969	rhsA	Aved_18-Q3-R54-62_BAT3C.633_01168	1168	35.659	258	151	5	1	246	1	255	5.55e-67	218	tig00014682-10-2749010	144429	145535	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	PS	start	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	rhsC	Aved_18-Q3-R54-62_BAT3C.633_01169	1169	27.624	181	115	7	1	175	1	171	1.26e-54	176	tig00014682-10-2749010	145564	146130	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	PS	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	rhsB	Aved_18-Q3-R54-62_BAT3C.633_01170	1170	42.899	338	169	6	5	341	3	317	2.46e-85	266	tig00014682-10-2749010	146138	147106	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	PS	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	rhsD	Aved_18-Q3-R54-62_BAT3C.633_01171	1171	39.286	196	114	2	1	194	1	193	4.77e-57	201	tig00014682-10-2749010	147117	149687	+	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	PS	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	spsL	Aved_18-Q3-R54-62_BAT3C.633_01172	1172	24.419	258	166	7	5	240	34	284	6.39e-36	136	tig00014682-10-2749010	149654	150607	-	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	GT	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	atrB	Aved_18-Q3-R54-62_BAT3C.633_01176	1176	23.967	242	163	4	488	727	63	285	7.12e-30	129	tig00014682-10-2749010	155851	157152	-	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	ABC	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	atrB	Aved_18-Q3-R54-62_BAT3C.633_01176	1176	23.967	242	163	4	488	727	63	285	7.12e-30	129	tig00014682-10-2749010	155851	157152	-	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	ABC	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	atrB	Aved_18-Q3-R54-62_BAT3C.633_01176	1176	23.967	242	163	4	488	727	63	285	7.12e-30	129	tig00014682-10-2749010	155851	157152	-	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	ABC	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BAT3C.633	1969	spsQ	Aved_18-Q3-R54-62_BAT3C.633_01177	1177	26.712	146	99	4	9	147	20	164	3.87e-27	117	tig00014682-10-2749010	157158	159830	-	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__UBA11034;s__	ESV334.1444;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:midas_g_120,s:midas_s_334;	99.4	1444	FPLM01006868.11.1512 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured;metagenome	99.3	1502	1.7658404	GT	NA	Aved_18-Q3-R54-62_BAT3C.633
Aved_18-Q3-R54-62_BATAC.321_sub	4373	spsS	Aved_18-Q3-R54-62_BATAC.321_sub_04777	4777	20.388	103	77	2	5	106	16	114	1.96e-06	53.8	tig01609279-10-843240	718	1251	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	ESV4338.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Sphaerotilus,s:midas_s_4338;	99.9	1449	AY212650.1.1514 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus;uncultured bacterium	95.3	1527	0.55429703	PE	start	Aved_18-Q3-R54-62_BATAC.321_sub
