operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
1	Aved_18-Q3-R54-62_BATAC.570	tig00020161-10-1851290	3279	3279	tig00020161-10-1851290	0	743	-1	3277	Aved_18-Q3-R54-62_BATAC.570_03277	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361;s__	ESV2315.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Hydrogenophilaceae,g:midas_g_1040,s:midas_s_1040;	NA	NA	FJ660557.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.570	743	0
1	Aved_18-Q3-R54-62_BATAC.570	tig00020161-10-1851290	3279	3279	tig00020161-10-1851290	733	2373	-1	3278	Aved_18-Q3-R54-62_BATAC.570_03278	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361;s__	ESV2315.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Hydrogenophilaceae,g:midas_g_1040,s:midas_s_1040;	NA	NA	FJ660557.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.570	2373	733
1	Aved_18-Q3-R54-62_BATAC.570	tig00020161-10-1851290	3279	3279	tig00020161-10-1851290	2650	6951	1	3279	Aved_18-Q3-R54-62_BATAC.570_03279	pmHAS	33.01	206	133	5	439	640	870	1074	1.6e-18	98.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361;s__	ESV2315.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Hydrogenophilaceae,g:midas_g_1040,s:midas_s_1040;	99.9	1449	FJ660557.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;uncultured bacterium	99.6	1488	0.086518064	SY	start	Aved_18-Q3-R54-62_BATAC.570	5872	5260
1	Aved_18-Q3-R54-62_BATAC.570	tig00020161-10-1851290	3279	3279	tig00020161-10-1851290	6964	8406	1	3280	Aved_18-Q3-R54-62_BATAC.570_03280	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361;s__	ESV2315.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Hydrogenophilaceae,g:midas_g_1040,s:midas_s_1040;	NA	NA	FJ660557.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.570	8406	6964
1	Aved_18-Q3-R54-62_BATAC.570	tig00020161-10-1851290	3279	3279	tig00020161-10-1851290	8710	9327	1	3281	Aved_18-Q3-R54-62_BATAC.570_03281	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__UBA3361;s__	ESV2315.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Hydrogenophilaceae,g:midas_g_1040,s:midas_s_1040;	NA	NA	FJ660557.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.570	9327	8710
2	Aved_18-Q3-R54-62_MAXAC.406	tig00007022-10-3217080	1084	1084	tig00007022-10-3217080	0	158	-1	1082	Aved_18-Q3-R54-62_MAXAC.406_01082	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV5048.1479;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_4788,s:midas_s_4788;	NA	NA	FN824902.1.1305 Bacteria;Latescibacterota;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.406	158	0
2	Aved_18-Q3-R54-62_MAXAC.406	tig00007022-10-3217080	1084	1084	tig00007022-10-3217080	595	1974	-1	1083	Aved_18-Q3-R54-62_MAXAC.406_01083	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV5048.1479;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_4788,s:midas_s_4788;	NA	NA	FN824902.1.1305 Bacteria;Latescibacterota;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.406	1974	595
2	Aved_18-Q3-R54-62_MAXAC.406	tig00007022-10-3217080	1084	1084	tig00007022-10-3217080	1926	2984	-1	1084	Aved_18-Q3-R54-62_MAXAC.406_01084	pmHAS	33.846	195	121	4	440	629	7	198	7.28e-22	104	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV5048.1479;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_4788,s:midas_s_4788;	100	1479	FN824902.1.1305 Bacteria;Latescibacterota;uncultured bacterium	99.8	1305	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.406	2520	1947
2	Aved_18-Q3-R54-62_MAXAC.406	tig00007022-10-3217080	1084	1084	tig00007022-10-3217080	3084	3641	1	1085	Aved_18-Q3-R54-62_MAXAC.406_01085	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV5048.1479;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_4788,s:midas_s_4788;	NA	NA	FN824902.1.1305 Bacteria;Latescibacterota;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.406	3641	3084
2	Aved_18-Q3-R54-62_MAXAC.406	tig00007022-10-3217080	1084	1084	tig00007022-10-3217080	3685	5937	1	1086	Aved_18-Q3-R54-62_MAXAC.406_01086	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV5048.1479;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_4788,s:midas_s_4788;	NA	NA	FN824902.1.1305 Bacteria;Latescibacterota;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.406	5937	3685
