operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	0	1277	1	2887	Aved_18-Q3-R54-62_MAXAC.126_02887	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	NA	NA	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.126	1277	0
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	1274	2284	1	2888	Aved_18-Q3-R54-62_MAXAC.126_02888	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	NA	NA	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.126	2284	1274
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	2291	3040	1	2889	Aved_18-Q3-R54-62_MAXAC.126_02889	icaB	21.186	236	148	7	45	271	3	209	8.45e-50	170	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	100	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	98.5	1490	NA	MOD	start	Aved_18-Q3-R54-62_MAXAC.126	2918	2300
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	3037	4155	1	2890	Aved_18-Q3-R54-62_MAXAC.126_02890	icaA	21.277	235	164	6	47	269	6	231	1.76e-29	123	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	100	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	98.5	1490	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.126	3730	3055
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	4179	4601	1	2891	Aved_18-Q3-R54-62_MAXAC.126_02891	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	NA	NA	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.126	4601	4179
44	Aved_18-Q3-R54-62_MAXAC.126	tig00004441-10-6364520	2890	2889	tig00004441-10-6364520	4622	4915	1	2892	Aved_18-Q3-R54-62_MAXAC.126_02892	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	NA	NA	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.126	4915	4622
50	Aved_18-Q3-R54-62_MAXAC.248_sub	tig00005456-10-5182910	4072	4068	tig00005456-10-5182910	0	374	1	4066	Aved_18-Q3-R54-62_MAXAC.248_sub_04066	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	NA	NA	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.248_sub	374	0
50	Aved_18-Q3-R54-62_MAXAC.248_sub	tig00005456-10-5182910	4072	4068	tig00005456-10-5182910	378	1484	1	4067	Aved_18-Q3-R54-62_MAXAC.248_sub_04067	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	NA	NA	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.248_sub	1484	378
50	Aved_18-Q3-R54-62_MAXAC.248_sub	tig00005456-10-5182910	4072	4068	tig00005456-10-5182910	1481	2908	1	4068	Aved_18-Q3-R54-62_MAXAC.248_sub_04068	icaA	21.007	457	305	9	1	401	9	465	8.71e-59	204	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	99.9	1441	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	98.3	1508	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.248_sub	2876	1508
50	Aved_18-Q3-R54-62_MAXAC.248_sub	tig00005456-10-5182910	4072	4068	tig00005456-10-5182910	2987	4087	1	4069	Aved_18-Q3-R54-62_MAXAC.248_sub_04069	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	ESV327.1441;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Kineosporiales,f:Kineosporiaceae,g:midas_g_327,s:midas_s_327;	NA	NA	FPLM01008032.1.1508 Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.248_sub	4087	2987
