operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	0	1337	-1	3103	Kalu_18-Q3-R12-55_BAT3C.181_03103	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	1337	0
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	1396	2205	-1	3104	Kalu_18-Q3-R12-55_BAT3C.181_03104	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	2205	1396
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	2648	3463	1	3105	Kalu_18-Q3-R12-55_BAT3C.181_03105	gumB	35.583	163	101	3	49	208	32	193	3.56e-35	131	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	99	1451	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	99.9	1490	1.5323385	Export	start	Kalu_18-Q3-R12-55_BAT3C.181	3227	2744
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	3477	4913	1	3106	Kalu_18-Q3-R12-55_BAT3C.181_03106	gumC	23.288	438	316	3	27	464	5	422	1.6e-85	276	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	99	1451	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	99.9	1490	1.5323385	Export	NA	Kalu_18-Q3-R12-55_BAT3C.181	4743	3492
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	4913	5848	1	3107	Kalu_18-Q3-R12-55_BAT3C.181_03107	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	5848	4913
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	5968	7110	1	3108	Kalu_18-Q3-R12-55_BAT3C.181_03108	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	7110	5968
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	7122	7934	1	3109	Kalu_18-Q3-R12-55_BAT3C.181_03109	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	7934	7122
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	7960	9567	1	3110	Kalu_18-Q3-R12-55_BAT3C.181_03110	gumJ	21.501	493	373	5	16	497	4	493	1.56e-47	177	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	99	1451	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	99.9	1490	1.5323385	Export	NA	Kalu_18-Q3-R12-55_BAT3C.181	9439	7972
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	9537	10940	1	3111	Kalu_18-Q3-R12-55_BAT3C.181_03111	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	10940	9537
5957	Kalu_18-Q3-R12-55_BAT3C.181	tig00442601-10-5717870	3126	3105	tig00442601-10-5717870	10937	11830	1	3112	Kalu_18-Q3-R12-55_BAT3C.181_03112	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	ESV8156.1451;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_81,s:midas_s_8156;	NA	NA	HQ010838.1.1490 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;uncultured bacterium	NA	NA	NA	NA	NA	Kalu_18-Q3-R12-55_BAT3C.181	11830	10937
