operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	0	1511	-1	3982	Aved_18-Q3-R54-62_BATAC.266_03982	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	1511	0
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	1519	5352	-1	3983	Aved_18-Q3-R54-62_BATAC.266_03983	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	5352	1519
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	5357	6535	-1	3984	Aved_18-Q3-R54-62_BATAC.266_03984	icaA	24.627	134	90	4	45	175	12	137	7.7e-11	69.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	99.9	1450	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	98.9	1496	NA	SY	start	Aved_18-Q3-R54-62_BATAC.266	5768	5393
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	6538	6909	-1	3985	Aved_18-Q3-R54-62_BATAC.266_03985	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	6909	6538
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	6910	7575	-1	3986	Aved_18-Q3-R54-62_BATAC.266_03986	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	7575	6910
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	7583	8218	-1	3987	Aved_18-Q3-R54-62_BATAC.266_03987	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	8218	7583
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	8211	8984	-1	3988	Aved_18-Q3-R54-62_BATAC.266_03988	icaB	22.603	146	95	4	101	245	55	183	4.65e-11	67.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	99.9	1450	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	98.9	1496	NA	MOD	NA	Aved_18-Q3-R54-62_BATAC.266	8760	8376
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	8978	9997	-1	3989	Aved_18-Q3-R54-62_BATAC.266_03989	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	9997	8978
143	Aved_18-Q3-R54-62_BATAC.266	tig00373071-10-30212060	3988	3984	tig00373071-10-30212060	9999	11204	-1	3990	Aved_18-Q3-R54-62_BATAC.266_03990	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	NA	NA	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.266	11204	9999
155	Aved_18-Q3-R54-62_BATAC.321_sub	tig00025397-10-1346360	2312	2311	tig00025397-10-1346360	0	1577	1	2309	Aved_18-Q3-R54-62_BATAC.321_sub_02309	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	ESV4338.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Sphaerotilus,s:midas_s_4338;	NA	NA	AY212650.1.1514 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BATAC.321_sub	1577	0
