operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	0	734	1	3917	Aved_18-Q3-R54-62_BAT3C.394_03917	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	734	0
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	674	1171	-1	3918	Aved_18-Q3-R54-62_BAT3C.394_03918	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	1171	674
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	1535	3799	1	3919	Aved_18-Q3-R54-62_BAT3C.394_03919	bcsABII-A	46.331	695	357	5	28	710	47	737	0	759	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY	start	Aved_18-Q3-R54-62_BAT3C.394	3746	1676
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	3840	6209	1	3920	Aved_18-Q3-R54-62_BAT3C.394_03920	bcsABII-A	30.452	775	515	11	747	1508	23	786	0	845	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY	NA	Aved_18-Q3-R54-62_BAT3C.394	6198	3909
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	6216	10532	1	3921	Aved_18-Q3-R54-62_BAT3C.394_03921	bcsCII	24.804	895	629	11	85	953	23	899	2.54e-152	502	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	Export	NA	Aved_18-Q3-R54-62_BAT3C.394	8913	6285
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	10529	11365	1	3922	Aved_18-Q3-R54-62_BAT3C.394_03922	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	11365	10529
9	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3919	tig01608118-10-14295950	11448	12338	1	3923	Aved_18-Q3-R54-62_BAT3C.394_03923	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	12338	11448
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	0	266	-1	255	Bjer_18-Q3-R1-45_BATAC.458_00255	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	NA	NA	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_BATAC.458_A	266	0
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	337	1893	-1	256	Bjer_18-Q3-R1-45_BATAC.458_00256	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	NA	NA	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_BATAC.458_A	1893	337
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	1890	4448	-1	257	Bjer_18-Q3-R1-45_BATAC.458_00257	bcsABII-A	43.343	706	382	5	26	717	148	849	0	734	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	99.6	1459	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	88.8	1502	0.3719956	SY	start	Bjer_18-Q3-R1-45_BATAC.458_A	4437	2334
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	4445	5272	-1	258	Bjer_18-Q3-R1-45_BATAC.458_00258	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	NA	NA	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_BATAC.458_A	5272	4445
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	5280	5456	-1	259	Bjer_18-Q3-R1-45_BATAC.458_00259	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	NA	NA	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_BATAC.458_A	5456	5280
252	Bjer_18-Q3-R1-45_BATAC.458	tig00001862-10-6955040	263	257	tig00001862-10-6955040	5446	7215	-1	260	Bjer_18-Q3-R1-45_BATAC.458_00260	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	NA	NA	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Bjer_18-Q3-R1-45_BATAC.458_A	7215	5446
