Query_label	Target_label	ID	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function
icaA	Aved_18-Q3-R54-62_BAT3C.16_uni_00897	Aved_18-Q3-R54-62_BAT3C.16_uni	897	25	220	136	6	43	237	2	217	3.05e-27	116	contig_circular	727614	728666	+	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__	ESV903.1387;tax=d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:midas_f_903,g:midas_g_903,s:midas_s_903;	100	1387	HM066599.1.1434 Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured bacterium	92.7	1436	0.24678703	SY
icaA	Aved_18-Q3-R54-62_BAT3C.16_uni_01420	Aved_18-Q3-R54-62_BAT3C.16_uni	1420	21.078	204	146	6	48	245	7	201	2.21e-27	114	contig_circular	1130124	1130852	-	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__	ESV903.1387;tax=d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:midas_f_903,g:midas_g_903,s:midas_s_903;	100	1387	HM066599.1.1434 Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured bacterium	92.7	1436	0.24678703	SY
icaA	Aved_18-Q3-R54-62_BAT3C.210_00887	Aved_18-Q3-R54-62_BAT3C.210	887	20.312	128	96	3	44	166	24	150	3.61e-11	70.8	tig00000607-10-10880000	906582	908012	+	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	ESV7927.1465;tax=d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales,f:Vermiphilaceae,g:midas_g_7927,s:midas_s_7927;	100	1465	KJ782661.1.1504 Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;uncultured bacterium	94.9	1504	0.7197425	SY
icaA	Aved_18-Q3-R54-62_BAT3C.258_sub_00058	Aved_18-Q3-R54-62_BAT3C.258_sub	58	22.353	85	63	2	49	132	3	85	2.69e-15	76.2	tig00003150-10-10078340	55346	55603	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.258_sub_00323	Aved_18-Q3-R54-62_BAT3C.258_sub	323	27.273	99	71	1	54	151	3	101	6.09e-20	91.6	tig00003150-10-10078340	299431	299889	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.258_sub_00325	Aved_18-Q3-R54-62_BAT3C.258_sub	325	21.192	151	111	2	49	199	3	145	2.26e-11	69.6	tig00003150-10-10078340	301014	301790	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.302_00092	Aved_18-Q3-R54-62_BAT3C.302	92	21.365	337	241	12	48	362	20	354	9.3e-37	142	tig00004223-10-6911750	88379	89461	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.302_03292	Aved_18-Q3-R54-62_BAT3C.302	3292	22.326	215	152	3	47	250	5	215	1.09e-29	123	tig00022164-10-1225130	75393	76472	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.302_03329	Aved_18-Q3-R54-62_BAT3C.302	3329	23.423	222	166	3	49	268	2	221	2.42e-33	131	tig00022164-10-1225130	112082	112897	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
icaA	Aved_18-Q3-R54-62_BAT3C.302_03621	Aved_18-Q3-R54-62_BAT3C.302	3621	21.302	169	118	5	230	398	2	155	2.96e-11	67.3	tig00028733-10-1110760	54226	54723	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
