Query_label	Target_label	ID	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function
bcsY	Aved_18-Q3-R54-62_BAT3C.258_sub_01917	Aved_18-Q3-R54-62_BAT3C.258_sub	1917	22.523	111	80	2	254	358	1	111	0.000601	44.8	tig00003990-10-8282550	706112	706450	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	MOD
bcsY	Aved_18-Q3-R54-62_BAT3C.302_00795	Aved_18-Q3-R54-62_BAT3C.302	795	20.812	197	137	3	17	197	1	194	9.65e-14	76	tig00006626-10-1352380	34688	35383	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	MOD
bcsCII	Aved_18-Q3-R54-62_BAT3C.302_01151	Aved_18-Q3-R54-62_BAT3C.302	1151	20.478	293	205	4	230	521	445	710	1.78e-19	101	tig00008352-10-4115970	264958	267102	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	Export
bcsY	Aved_18-Q3-R54-62_BAT3C.309_02525	Aved_18-Q3-R54-62_BAT3C.309	2525	20.286	350	254	6	10	352	9	340	2.16e-36	141	tig00373134-10-19807410	1865963	1867027	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	MOD
bcsCII	Aved_18-Q3-R54-62_BAT3C.309_03970	Aved_18-Q3-R54-62_BAT3C.309	3970	20.954	587	411	9	319	897	234	775	7.31e-32	140	tig01608090-10-7225250	23967	26321	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	ESV2550.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Zoogloea,s:Zoogloea_caeni;	100	1460	AMXD01000247.830.2370 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Thauera;Thauera aminoaromatica S2	99.4	1539	0.15594675	Export
bcsY	Aved_18-Q3-R54-62_BAT3C.394_00898	Aved_18-Q3-R54-62_BAT3C.394	898	27.273	363	249	8	28	379	4	362	1.82e-76	253	tig00006722-10-5174190	411363	413219	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	MOD
bcsY	Aved_18-Q3-R54-62_BAT3C.394_00899	Aved_18-Q3-R54-62_BAT3C.394	899	22.478	347	244	8	25	352	6	346	3.9e-52	182	tig00006722-10-5174190	413390	414445	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	MOD
bcsABII-A	Aved_18-Q3-R54-62_BAT3C.394_01325	Aved_18-Q3-R54-62_BAT3C.394	1325	20.253	395	281	10	67	436	3	388	1.92e-61	224	tig00009713-10-1225350	71602	72969	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
bcsABII-A	Aved_18-Q3-R54-62_BAT3C.394_03919	Aved_18-Q3-R54-62_BAT3C.394	3919	46.331	695	357	5	28	710	47	737	0	759	tig01608118-10-14295950	484128	486392	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
bcsABII-A	Aved_18-Q3-R54-62_BAT3C.394_03920	Aved_18-Q3-R54-62_BAT3C.394	3920	30.452	775	515	11	747	1508	23	786	0	845	tig01608118-10-14295950	486433	488802	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY
