Query_label	Target_label	ID	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function
epsH	Aved_18-Q3-R54-62_BAT3C.16_uni_00897	Aved_18-Q3-R54-62_BAT3C.16_uni	897	22.018	218	144	4	2	197	4	217	1.89e-28	118	contig_circular	727614	728666	+	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__	ESV903.1387;tax=d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:midas_f_903,g:midas_g_903,s:midas_s_903;	100	1387	HM066599.1.1434 Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured bacterium	92.7	1436	0.24678703	SY
epsH	Aved_18-Q3-R54-62_BAT3C.16_uni_01420	Aved_18-Q3-R54-62_BAT3C.16_uni	1420	21.5	200	150	3	1	198	1	195	1.68e-30	121	contig_circular	1130124	1130852	-	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__UBA5169;s__	ESV903.1387;tax=d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales,f:midas_f_903,g:midas_g_903,s:midas_s_903;	100	1387	HM066599.1.1434 Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured bacterium	92.7	1436	0.24678703	SY
epsH	Aved_18-Q3-R54-62_BAT3C.258_sub_00058	Aved_18-Q3-R54-62_BAT3C.258_sub	58	25.882	85	60	2	6	89	3	85	2.49e-19	86.8	tig00003150-10-10078340	55346	55603	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
epsH	Aved_18-Q3-R54-62_BAT3C.258_sub_00323	Aved_18-Q3-R54-62_BAT3C.258_sub	323	29.63	108	75	1	11	117	3	110	4.07e-27	109	tig00003150-10-10078340	299431	299889	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
epsH	Aved_18-Q3-R54-62_BAT3C.258_sub_01425	Aved_18-Q3-R54-62_BAT3C.258_sub	1425	22.535	71	53	2	2	71	69	138	5.87e-09	59.9	tig00003990-10-8282550	262025	262465	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.258_sub_01891	Aved_18-Q3-R54-62_BAT3C.258_sub	1891	28.75	80	53	1	2	81	1	76	3.57e-13	69.9	tig00003990-10-8282550	688080	688310	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
epsH	Aved_18-Q3-R54-62_BAT3C.258_sub_02703	Aved_18-Q3-R54-62_BAT3C.258_sub	2703	23.695	249	173	7	5	241	18	261	8.5e-46	162	tig00012832-10-3103210	15233	16105	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV154.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.9	1451	JX521096.1.1501 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium	98.4	1501	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.302_01755	Aved_18-Q3-R54-62_BAT3C.302	1755	21.008	119	87	3	4	115	7	125	6.31e-14	74.8	tig00008942-10-4052240	33626	34177	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.302_03292	Aved_18-Q3-R54-62_BAT3C.302	3292	22.414	348	236	9	4	336	6	334	2.58e-74	238	tig00022164-10-1225130	75393	76472	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
epsJ	Aved_18-Q3-R54-62_BAT3C.302_03329	Aved_18-Q3-R54-62_BAT3C.302	3329	20.721	222	170	3	4	225	1	216	1.28e-42	154	tig00022164-10-1225130	112082	112897	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	ESV283.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_283,s:midas_s_283;	99.6	1445	FPLP01004264.2.1479 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	99.3	1480	NA	SY
