ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BATAC.843	360	pgaB	Aved_18-Q3-R54-62_BATAC.843_00037	37	20.732	246	152	9	51	293	4	209	5.69e-27	116	tig00000726-10-21197290	46816	47565	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	ESV395.1432;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_395,s:midas_s_395;	100	1432	FPLP01000356.16.1505 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;metagenome	99.9	1490	1.089386	MOD	start	Aved_18-Q3-R54-62_BATAC.843
Aved_18-Q3-R54-62_BATAC.843	360	pgaC	Aved_18-Q3-R54-62_BATAC.843_00038	38	24.537	216	148	5	72	281	3	209	9.75e-27	116	tig00000726-10-21197290	47562	48674	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	ESV395.1432;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_395,s:midas_s_395;	100	1432	FPLP01000356.16.1505 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;metagenome	99.9	1490	1.089386	SY	.	Aved_18-Q3-R54-62_BATAC.843
Bjer_18-Q3-R1-45_MAXAC.014	1080	pgaA	Bjer_18-Q3-R1-45_MAXAC.014_03044	3044	27.411	591	414	5	220	807	52	630	0	589	tig00013944-10-761410	16473	18365	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	Export	start	Bjer_18-Q3-R1-45_MAXAC.014
Bjer_18-Q3-R1-45_MAXAC.014	1080	pgaB	Bjer_18-Q3-R1-45_MAXAC.014_03045	3045	37.158	366	217	6	49	412	24	378	1.29e-118	369	tig00013944-10-761410	18353	19897	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	MOD	.	Bjer_18-Q3-R1-45_MAXAC.014
Bjer_18-Q3-R1-45_MAXAC.014	1080	pgaC	Bjer_18-Q3-R1-45_MAXAC.014_03046	3046	44.828	145	79	1	30	174	14	157	2.8e-39	144	tig00013944-10-761410	19904	20395	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	SY	.	Bjer_18-Q3-R1-45_MAXAC.014
Bjer_18-Q3-R1-45_MAXAC.014	1080	pgaC	Bjer_18-Q3-R1-45_MAXAC.014_03047	3047	52.157	255	122	0	184	438	11	265	3.29e-87	272	tig00013944-10-761410	20370	21194	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	ESV5089.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Sulfuritalea,s:Sulfuritalea_hydrogenivorans;	99.9	1460	FPLP01002690.20.1537 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Sulfuritalea;metagenome	99.5	1518	0.95639247	SY	.	Bjer_18-Q3-R1-45_MAXAC.014
Bjer_18-Q3-R1-45_MAXAC.090	1153	pgaC	Bjer_18-Q3-R1-45_MAXAC.090_01690	1690	34	400	257	5	30	428	19	412	8.86e-92	289	tig00000439-10-26518310	2006414	2007682	+	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV753.1487;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_753,s:midas_s_753;	99.9	1487	EF632751.1.1552 Bacteria;Latescibacterota;uncultured bacterium	99.2	1552	NA	SY	start	Bjer_18-Q3-R1-45_MAXAC.090
Bjer_18-Q3-R1-45_MAXAC.090	1153	pgaB	Bjer_18-Q3-R1-45_MAXAC.090_01692	1692	25.243	206	118	6	64	256	116	298	7.68e-06	54.7	tig00000439-10-26518310	2009055	2010104	+	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	ESV753.1487;tax=d:Bacteria,p:Ca_Fermentibacterota,c:Ca_Fermentibacteria,o:midas_o_753,f:midas_f_753,g:midas_g_753,s:midas_s_753;	99.9	1487	EF632751.1.1552 Bacteria;Latescibacterota;uncultured bacterium	99.2	1552	NA	MOD	.	Bjer_18-Q3-R1-45_MAXAC.090
Damh_18-Q3-R51-60_MAXAC.107	1573	pgaC	Damh_18-Q3-R51-60_MAXAC.107_02947	2947	35	100	59	2	71	169	1	95	8.21e-09	62.8	tig00008676-10-965710	57916	58782	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__UBA4417;s__	ESV2768.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:Lentimicrobiaceae,g:midas_g_1061,s:midas_s_2768;	99.7	1445	HQ609695.1.1490 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured bacterium	97.3	1490	0.1884939	SY	start	Damh_18-Q3-R51-60_MAXAC.107
Damh_18-Q3-R51-60_MAXAC.107	1573	pgaB	Damh_18-Q3-R51-60_MAXAC.107_02953	2953	20.435	230	131	4	50	274	5	187	6.11e-36	142	tig00008676-10-965710	64179	64982	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__UBA4417;s__	ESV2768.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:Lentimicrobiaceae,g:midas_g_1061,s:midas_s_2768;	99.7	1445	HQ609695.1.1490 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured bacterium	97.3	1490	0.1884939	MOD	.	Damh_18-Q3-R51-60_MAXAC.107
