ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BATAC.851	931	pslI	Aved_18-Q3-R54-62_BATAC.851_03553	3553	26.471	136	98	1	232	365	264	399	4.01e-20	96.8	tig00005012-10-6570710	492700	493902	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	GT	start	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	931	pslC	Aved_18-Q3-R54-62_BATAC.851_03559	3559	20.833	216	158	5	5	207	10	225	2.31e-34	132	tig00005012-10-6570710	498532	499476	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	931	pslH	Aved_18-Q3-R54-62_BATAC.851_03564	3564	21.25	400	261	14	1	392	1	354	4.73e-15	81.9	tig00005012-10-6570710	504824	505894	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	931	pslC	Aved_18-Q3-R54-62_BATAC.851_03566	3566	21.667	300	208	8	2	286	5	292	1.32e-50	174	tig00005012-10-6570710	506791	507669	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	931	pslE	Aved_18-Q3-R54-62_BATAC.851_03571	3571	20.604	364	247	12	159	512	181	512	0.000128	51.6	tig00005012-10-6570710	513216	515549	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	Polymerization	NA	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	931	pslD	Aved_18-Q3-R54-62_BATAC.851_03572	3572	21.359	103	77	2	120	222	238	336	6.35e-14	76.2	tig00005012-10-6570710	515628	516713	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.851
Bjer_18-Q3-R1-45_BAT3C.93	2030	pslI	Bjer_18-Q3-R1-45_BAT3C.93_02148	2148	25.994	327	211	9	52	362	33	344	2.75e-46	166	tig00200464-10-3864580	153007	154059	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	GT	start	Bjer_18-Q3-R1-45_BAT3C.93
Bjer_18-Q3-R1-45_BAT3C.93	2030	pslH	Bjer_18-Q3-R1-45_BAT3C.93_02150	2150	20.805	149	115	2	252	398	8	155	9.55e-26	107	tig00200464-10-3864580	154825	155295	+	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	GT	NA	Bjer_18-Q3-R1-45_BAT3C.93
Bjer_18-Q3-R1-45_BAT3C.93	2030	pslI	Bjer_18-Q3-R1-45_BAT3C.93_02151	2151	23.626	364	240	9	11	363	24	360	3.77e-58	198	tig00200464-10-3864580	155284	156393	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	GT	NA	Bjer_18-Q3-R1-45_BAT3C.93
Bjer_18-Q3-R1-45_BAT3C.93	2030	pslA	Bjer_18-Q3-R1-45_BAT3C.93_02152	2152	25.786	477	324	8	17	478	21	482	6.72e-83	269	tig00200464-10-3864580	156502	157950	+	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	PE	NA	Bjer_18-Q3-R1-45_BAT3C.93
