ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.394	1	crdS	Aved_18-Q3-R54-62_BAT3C.394_03919	3919	30.995	442	285	8	38	472	88	516	7.48e-51	194	tig01608118-10-14295950	484128	486392	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY	start	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.540	2	crdS	Aved_18-Q3-R54-62_BAT3C.540_05373	5373	30.502	259	164	8	117	369	57	305	4.59e-18	94	tig00000023-10-69002250	6592548	6594071	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY	start	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BATAC.767	3	crdS	Aved_18-Q3-R54-62_BATAC.767_02570	2570	30.769	286	176	8	117	391	65	339	2.13e-13	79.3	tig00373182-10-29166260	2413712	2415280	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Ardenticatenales;f__;g__;s__	ESV1676.1410;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031,f:midas_f_119,g:midas_g_1676,s:midas_s_1676;	99.8	1411	FPLP01006585.16.1483 Bacteria;Chloroflexi;Anaerolineae;SBR1031;metagenome	99	1469	0.3136939	SY	start	Aved_18-Q3-R54-62_BATAC.767
Aved_18-Q3-R54-62_MAXAC.030	4	crdC	Aved_18-Q3-R54-62_MAXAC.030_01410	1410	32.208	385	238	7	37	409	225	598	4.13e-159	466	tig00009033-10-3227410	82613	84412	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	PE	start	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.057_sub	5	crdS	Aved_18-Q3-R54-62_MAXAC.057_sub_03505	3505	31.053	190	109	9	118	296	53	231	5.91e-07	57	tig01608263-10-5728240	320939	321652	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV6664.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	99.9	1432	KJ807881.1.1474 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	99.6	1474	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.057_sub
Aved_18-Q3-R54-62_MAXAC.321	6	crdS	Aved_18-Q3-R54-62_MAXAC.321_02015	2015	31.783	258	149	9	118	361	50	294	2.17e-19	97.8	tig00000302-10-25166900	2354022	2355488	+	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	ESV595.1458;tax=d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:MVP-88,f:midas_f_595,g:midas_g_595,s:midas_s_595;	100	1458	FPLP01009312.6.1482 Bacteria;Elusimicrobiota;Elusimicrobia;MVP-88;metagenome	99.7	1477	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.321
Aved_18-Q3-R54-62_MAXAC.457	7	crdC	Aved_18-Q3-R54-62_MAXAC.457_04647	4647	33.924	395	227	10	41	409	252	638	9.69e-137	411	tig01608361-10-3959370	287722	289656	-	d__Bacteria;p__Planctomycetota;c__UBA1135;o__;f__;g__;s__	ESV7377.1479;tax=d:Bacteria,p:Planctomycetes,c:OM190,o:midas_o_2104,f:midas_f_2104,g:midas_g_2104,s:midas_s_7377;	80.7	1487	JQ580347.1.1504 Bacteria;Planctomycetota;OM190;uncultured planctomycete	91.3	1510	0.23668095	PE	start	Aved_18-Q3-R54-62_MAXAC.457
Bjer_18-Q3-R1-45_BAT3C.93	8	crdS	Bjer_18-Q3-R1-45_BAT3C.93_01365	1365	38.542	288	156	8	118	397	110	384	2.05e-41	164	tig00200013-10-7633590	105787	107553	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	SY	start	Bjer_18-Q3-R1-45_BAT3C.93
Bjer_18-Q3-R1-45_BATAC.458	9	crdS	Bjer_18-Q3-R1-45_BATAC.458_00257	257	31.6	500	314	11	39	528	195	676	6.5e-59	218	tig00001862-10-6955040	304719	307277	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	99.6	1459	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	88.8	1502	0.3719956	SY	start	Bjer_18-Q3-R1-45_BATAC.458_A
Bjer_18-Q3-R1-45_BATAC.458	10	crdS	Bjer_18-Q3-R1-45_BATAC.458_01831	1831	31.139	395	252	8	143	528	2	385	1.35e-47	181	tig00003241-10-469790	37438	39126	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV4982.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_4982;	99.6	1459	FPLP01004017.2.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	88.8	1502	0.3719956	SY	start	Bjer_18-Q3-R1-45_BATAC.458_B
Damh_18-Q3-R51-60_MAXAC.210	11	crdS	Damh_18-Q3-R51-60_MAXAC.210_00484	484	31.783	258	149	9	118	361	50	294	2.17e-19	97.8	tig00000227-10-17572600	612288	613754	+	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	ESV595.1458;tax=d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:MVP-88,f:midas_f_595,g:midas_g_595,s:midas_s_595;	100	1458	FPLP01009312.6.1482 Bacteria;Elusimicrobiota;Elusimicrobia;MVP-88;metagenome	99.7	1477	NA	SY	start	Damh_18-Q3-R51-60_MAXAC.210
Ega_18-Q3-R5-49_MAXAC.112v2	12	crdS	Ega_18-Q3-R5-49_MAXAC.112v2_00815	815	35.695	367	208	10	39	399	6	350	5.74e-52	195	tig00000002-10-32561090	864182	866092	+	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__Brocadiales;f__Brocadiaceae;g__Brocadia;s__Brocadia sapporoensis	ESV9608.1601;tax=d:Bacteria,p:Planctomycetes,c:Brocadiae,o:Brocadiales,f:Brocadiaceae,g:Ca_Brocadia,s:Ca_Brocadia_sapporoensis;	97.2	1592	MWTF01000010.49529.51100 Bacteria;Planctomycetota;Brocadiae;Brocadiales;Brocadiaceae;Candidatus Brocadia;Candidatus Brocadia sp. UTAMX1	98	1572	0.2369684	SY	start	Ega_18-Q3-R5-49_MAXAC.112v2
Ega_18-Q3-R5-49_MAXAC.199	13	crdS	Ega_18-Q3-R5-49_MAXAC.199_01241	1241	31.783	258	149	9	118	361	50	294	2.17e-19	97.8	tig00000876-10-4783020	59517	60983	+	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	ESV595.1458;tax=d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:MVP-88,f:midas_f_595,g:midas_g_595,s:midas_s_595;	100	1458	FPLP01009312.6.1482 Bacteria;Elusimicrobiota;Elusimicrobia;MVP-88;metagenome	99.7	1477	NA	SY	start	Ega_18-Q3-R5-49_MAXAC.199
Ejby_18-Q3-R6-50_MAXAC.192	14	crdS	Ejby_18-Q3-R6-50_MAXAC.192_01909	1909	31.783	258	149	9	118	361	50	294	2.17e-19	97.8	tig00000024-10-25242610	2285863	2287329	+	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	ESV595.1458;tax=d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:MVP-88,f:midas_f_595,g:midas_g_595,s:midas_s_595;	100	1458	FPLP01009312.6.1482 Bacteria;Elusimicrobiota;Elusimicrobia;MVP-88;metagenome	99.7	1477	0.98028576	SY	start	Ejby_18-Q3-R6-50_MAXAC.192
EsbW_18-Q3-R4-48_BAT3C.295	15	crdS	EsbW_18-Q3-R4-48_BAT3C.295_00724	724	37.5	288	159	7	118	397	110	384	1.7e-41	165	tig00002188-10-9196560	487823	489589	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV5.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01006639.16.1516 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.7	1501	NA	SY	start	EsbW_18-Q3-R4-48_BAT3C.295
EsbW_18-Q3-R4-48_BAT3C.485	16	crdS	EsbW_18-Q3-R4-48_BAT3C.485_03737	3737	33.73	252	150	6	19	264	69	309	8e-53	189	tig00020141-10-609230	22885	23814	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	99.8	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1509	NA	SY	start	EsbW_18-Q3-R4-48_BAT3C.485
EsbW_18-Q3-R4-48_BATAC.285	17	crdS	EsbW_18-Q3-R4-48_BATAC.285_01588	1588	30.38	316	189	8	112	405	444	750	8.73e-18	94.4	tig00004813-10-4512910	252292	255000	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__	ESV9523.1531;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Ca_Accumulibacter,s:Ca_Accumulibacter_phosphatis;	99.1	1531	FPLM01008126.9.1526 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Candidatus Accumulibacter;metagenome	99.5	1518	0.2517952	SY	start	EsbW_18-Q3-R4-48_BATAC.285
EsbW_18-Q3-R4-48_BATAC.445	18	crdS	EsbW_18-Q3-R4-48_BATAC.445_00148	148	31.783	258	149	9	118	361	50	294	2.17e-19	97.8	tig00002500-10-7312180	144270	145736	-	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	ESV595.1458;tax=d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:MVP-88,f:midas_f_595,g:midas_g_595,s:midas_s_595;	100	1458	FPLP01009312.6.1482 Bacteria;Elusimicrobiota;Elusimicrobia;MVP-88;metagenome	99.7	1477	NA	SY	start	EsbW_18-Q3-R4-48_BATAC.445
EsbW_18-Q3-R4-48_BATAC.453	19	crdS	EsbW_18-Q3-R4-48_BATAC.453_01813	1813	32.043	465	289	10	21	472	135	585	5.33e-55	206	tig00014047-10-1285900	106609	109047	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Simplicispira_A;s__	ESV1484.1455;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Simplicispira,s:Simplicispira_limi;	99.7	1455	FPLP01013315.16.1528 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;metagenome	99	1514	0.23458718	SY	start	EsbW_18-Q3-R4-48_BATAC.453
EsbW_18-Q3-R4-48_MAXAC.032	20	crdS	EsbW_18-Q3-R4-48_MAXAC.032_04096	4096	30.258	271	155	11	118	371	53	306	3.97e-17	90.9	tig01102194-10-3390260	19973	21466	+	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV6664.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	100	1432	KJ807881.1.1474 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	99.7	1474	NA	SY	start	EsbW_18-Q3-R4-48_MAXAC.032
