ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BATAC.266	143	icaA	Aved_18-Q3-R54-62_BATAC.266_03984	3984	24.627	134	90	4	45	175	12	137	7.7e-11	69.6	tig00373071-10-30212060	2542574	2543752	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	99.9	1450	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	98.9	1496	NA	SY	start	Aved_18-Q3-R54-62_BATAC.266
Aved_18-Q3-R54-62_BATAC.266	143	icaB	Aved_18-Q3-R54-62_BATAC.266_03988	3988	22.603	146	95	4	101	245	55	183	4.65e-11	67.4	tig00373071-10-30212060	2545428	2546201	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV66.1450;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_65;	99.9	1450	FPLP01013376.25.1519 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	98.9	1496	NA	MOD	NA	Aved_18-Q3-R54-62_BATAC.266
Aved_18-Q3-R54-62_BATAC.321_sub	155	icaB	Aved_18-Q3-R54-62_BATAC.321_sub_02311	2311	21.622	111	74	3	160	267	204	304	8.96e-17	84.8	tig00025397-10-1346360	106843	107811	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	ESV4338.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Sphaerotilus,s:midas_s_4338;	99.9	1449	AY212650.1.1514 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus;uncultured bacterium	95.3	1527	0.55429703	MOD	start	Aved_18-Q3-R54-62_BATAC.321_sub
Aved_18-Q3-R54-62_BATAC.321_sub	155	icaA	Aved_18-Q3-R54-62_BATAC.321_sub_02312	2312	27.206	136	89	4	29	162	33	160	3.32e-05	52	tig00025397-10-1346360	107890	109026	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	ESV4338.1449;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Sphaerotilus,s:midas_s_4338;	99.9	1449	AY212650.1.1514 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus;uncultured bacterium	95.3	1527	0.55429703	SY	NA	Aved_18-Q3-R54-62_BATAC.321_sub
Aved_18-Q3-R54-62_BATAC.645_sub	256	icaA	Aved_18-Q3-R54-62_BATAC.645_sub_02828	2828	23.611	144	98	3	48	191	3	134	1.02e-09	64.6	tig01608697-10-2107820	44484	45242	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp002333125	ESV3170.1447;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Agitococcus_lubricus_group,s:midas_s_3170;	99.5	1447	FPLP01000341.9.1513 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;metagenome	98.7	1506	NA	SY	start	Aved_18-Q3-R54-62_BATAC.645_sub
Aved_18-Q3-R54-62_BATAC.645_sub	256	icaB	Aved_18-Q3-R54-62_BATAC.645_sub_02829	2829	22.388	268	163	6	6	272	5	228	1.23e-59	195	tig01608697-10-2107820	45239	45979	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp002333125	ESV3170.1447;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Agitococcus_lubricus_group,s:midas_s_3170;	99.5	1447	FPLP01000341.9.1513 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;metagenome	98.7	1506	NA	MOD	NA	Aved_18-Q3-R54-62_BATAC.645_sub
Aved_18-Q3-R54-62_BATAC.843	286	icaB	Aved_18-Q3-R54-62_BATAC.843_00037	37	22.167	203	135	5	75	268	18	206	0.000151	48.5	tig00000726-10-21197290	46816	47565	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	ESV395.1432;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_395,s:midas_s_395;	100	1432	FPLP01000356.16.1505 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;metagenome	99.9	1490	1.089386	MOD	start	Aved_18-Q3-R54-62_BATAC.843
Aved_18-Q3-R54-62_BATAC.843	286	icaA	Aved_18-Q3-R54-62_BATAC.843_00038	38	21.719	221	159	5	43	257	2	214	1.89e-25	112	tig00000726-10-21197290	47562	48674	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	ESV395.1432;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_395,s:midas_s_395;	100	1432	FPLP01000356.16.1505 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;metagenome	99.9	1490	1.089386	SY	NA	Aved_18-Q3-R54-62_BATAC.843
Aved_18-Q3-R54-62_BATAC.851	294	icaA	Aved_18-Q3-R54-62_BATAC.851_02790	2790	25.238	210	148	5	42	248	2	205	5.1e-42	153	tig00003571-10-6372010	220785	221528	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	SY	start	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_BATAC.851	294	icaB	Aved_18-Q3-R54-62_BATAC.851_02791	2791	29.204	113	63	4	39	150	22	118	0.000216	48.5	tig00003571-10-6372010	221599	222591	-	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__;g__;s__	ESV2551.1452;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:11-24,f:midas_f_1424,g:midas_g_1424,s:midas_s_1424;	97.9	1452	FPLM01008826.16.1524 Bacteria;Acidobacteriota;Blastocatellia;11-24;metagenome	97.5	1510	NA	MOD	NA	Aved_18-Q3-R54-62_BATAC.851
Aved_18-Q3-R54-62_MAXAC.126	405	icaB	Aved_18-Q3-R54-62_MAXAC.126_02889	2889	21.186	236	148	7	45	271	3	209	8.45e-50	170	tig00004441-10-6364520	276084	276833	+	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV929.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	100	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	98.5	1490	NA	MOD	start	Aved_18-Q3-R54-62_MAXAC.126
