ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.448	7	epsH	Aved_18-Q3-R54-62_BAT3C.448_02775	2775	27.731	238	160	5	5	240	12	239	2.79e-44	161	tig00020836-10-1427180	33094	34224	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY	start	Aved_18-Q3-R54-62_BAT3C.448
Aved_18-Q3-R54-62_BAT3C.448	7	epsJ	Aved_18-Q3-R54-62_BAT3C.448_02779	2779	23.81	210	145	5	3	211	6	201	5.6e-34	132	tig00020836-10-1427180	36735	37715	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	ESV3775.1431;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154,f:midas_f_27,g:midas_g_3775,s:midas_s_3775;	98.9	1433	FPLP01006773.14.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;metagenome	98.7	1491	NA	SY	.	Aved_18-Q3-R54-62_BAT3C.448
Aved_18-Q3-R54-62_BAT3C.518	9	epsH	Aved_18-Q3-R54-62_BAT3C.518_03382	3382	21.397	229	164	4	1	220	1	222	1.16e-39	148	tig00374057-10-8991090	803368	804366	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY	start	Aved_18-Q3-R54-62_BAT3C.518
Aved_18-Q3-R54-62_BAT3C.518	9	epsJ	Aved_18-Q3-R54-62_BAT3C.518_03383	3383	29.752	242	156	7	2	233	1	238	9.56e-65	211	tig00374057-10-8991090	804416	805279	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY	.	Aved_18-Q3-R54-62_BAT3C.518
Aved_18-Q3-R54-62_BAT3C.518	9	epsJ	Aved_18-Q3-R54-62_BAT3C.518_03384	3384	20.415	289	194	8	4	283	17	278	3.23e-39	146	tig00374057-10-8991090	805341	806330	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY	.	Aved_18-Q3-R54-62_BAT3C.518
Aved_18-Q3-R54-62_BAT3C.518	9	epsH	Aved_18-Q3-R54-62_BAT3C.518_03389	3389	20.308	325	232	10	3	310	23	337	6.57e-26	111	tig00374057-10-8991090	812515	813579	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__OLB14;s__	ESV8483.1432;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae,g:Ca_Villigracilis,s:midas_s_6664;	97.4	1439	EF594055.1.1468 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium	97.1	1475	0.29217008	SY	.	Aved_18-Q3-R54-62_BAT3C.518
Aved_18-Q3-R54-62_BAT3C.689	13	epsJ	Aved_18-Q3-R54-62_BAT3C.689_01580	1580	22.414	116	82	5	135	245	12	124	2.73e-07	55.9	tig00007498-10-4964410	39674	40228	-	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__;s__	ESV9481.1412;tax=d:Bacteria,p:Chloroflexi,c:OLB14,o:midas_o_731,f:midas_f_731,g:midas_g_1412,s:midas_s_8871;	99	1412	LMZR01000034.4660.6149 Bacteria;Chloroflexi;OLB14;Chloroflexi bacterium OLB14	96.6	1490	0.084246285	SY	start	Aved_18-Q3-R54-62_BAT3C.689
Aved_18-Q3-R54-62_BAT3C.689	13	epsH	Aved_18-Q3-R54-62_BAT3C.689_01581	1581	28.916	83	57	1	1	83	1	81	3.73e-24	99	tig00007498-10-4964410	40292	40564	-	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__;s__	ESV9481.1412;tax=d:Bacteria,p:Chloroflexi,c:OLB14,o:midas_o_731,f:midas_f_731,g:midas_g_1412,s:midas_s_8871;	99	1412	LMZR01000034.4660.6149 Bacteria;Chloroflexi;OLB14;Chloroflexi bacterium OLB14	96.6	1490	0.084246285	SY	.	Aved_18-Q3-R54-62_BAT3C.689
Aved_18-Q3-R54-62_BAT3C.689	13	epsH	Aved_18-Q3-R54-62_BAT3C.689_01582	1582	25.203	123	86	3	2	121	3	122	4.63e-17	86.1	tig00007498-10-4964410	40557	41468	-	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__;s__	ESV9481.1412;tax=d:Bacteria,p:Chloroflexi,c:OLB14,o:midas_o_731,f:midas_f_731,g:midas_g_1412,s:midas_s_8871;	99	1412	LMZR01000034.4660.6149 Bacteria;Chloroflexi;OLB14;Chloroflexi bacterium OLB14	96.6	1490	0.084246285	SY	.	Aved_18-Q3-R54-62_BAT3C.689
Aved_18-Q3-R54-62_BATAC.241	18	epsJ	Aved_18-Q3-R54-62_BATAC.241_02603	2603	23.381	278	183	8	3	262	211	476	6.77e-49	180	tig00373145-10-5357490	128506	130815	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__	ESV5535.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:midas_g_5535,s:midas_s_5535;	99.9	1460	FPLP01001065.18.1535 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;uncultured;metagenome	99.9	1518	NA	SY	start	Aved_18-Q3-R54-62_BATAC.241
