operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	0	1076	1	3914	Aved_18-Q3-R54-62_BAT3C.394_03914	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	1076	0
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	1540	1758	-1	3915	Aved_18-Q3-R54-62_BAT3C.394_03915	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	1758	1540
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	2183	2677	1	3916	Aved_18-Q3-R54-62_BAT3C.394_03916	bcsDI	33.019	106	68	2	13	118	34	136	1.41e-54	174	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	Export	start	Aved_18-Q3-R54-62_BAT3C.394	2591	2285
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	2740	3474	1	3917	Aved_18-Q3-R54-62_BAT3C.394_03917	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	3474	2740
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	3414	3911	-1	3918	Aved_18-Q3-R54-62_BAT3C.394_03918	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	3911	3414
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	4275	6539	1	3919	Aved_18-Q3-R54-62_BAT3C.394_03919	bcsAI	45.378	714	366	6	35	735	51	753	0	719	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY	.	Aved_18-Q3-R54-62_BAT3C.394	6534	4428
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	6580	8949	1	3920	Aved_18-Q3-R54-62_BAT3C.394_03920	bcsBI	29.335	767	519	12	41	796	34	788	0	921	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	SY	.	Aved_18-Q3-R54-62_BAT3C.394	8944	6682
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	8956	13272	1	3921	Aved_18-Q3-R54-62_BAT3C.394_03921	bcsCI	25.982	866	611	9	22	871	7	858	9.35e-173	558	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	Export	.	Aved_18-Q3-R54-62_BAT3C.394	11530	8977
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	13269	14105	1	3922	Aved_18-Q3-R54-62_BAT3C.394_03922	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	14105	13269
14	Aved_18-Q3-R54-62_BAT3C.394	tig01608118-10-14295950	3921	3916	tig01608118-10-14295950	14188	15078	1	3923	Aved_18-Q3-R54-62_BAT3C.394_03923	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	NA	NA	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.394	15078	14188
