ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.540	87	gumM	Aved_18-Q3-R54-62_BAT3C.540_03695	3695	26.316	247	173	6	20	258	2	247	9.16e-60	195	tig00000023-10-69002250	4470854	4471615	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	GT	start	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	87	gumD	Aved_18-Q3-R54-62_BAT3C.540_03696	3696	27.443	481	313	6	30	483	13	484	1.24e-100	315	tig00000023-10-69002250	4471612	4473069	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	GT	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	87	gumB	Aved_18-Q3-R54-62_BAT3C.540_03699	3699	24.227	194	136	5	16	207	11	195	4.49e-31	118	tig00000023-10-69002250	4476685	4477272	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	87	gumH	Aved_18-Q3-R54-62_BAT3C.540_03702	3702	20.765	183	138	6	192	372	223	400	2.38e-11	70.8	tig00000023-10-69002250	4478894	4480096	+	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	GT	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BATAC.192	159	gumH	Aved_18-Q3-R54-62_BATAC.192_00216	216	21.337	389	273	8	1	372	5	377	5.38e-58	198	tig00373300-10-8002650	54645	55784	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__	ESV461.1427;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:midas_g_461,s:midas_s_461;	100	1427	FPLP01004046.106.1591 Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;metagenome	99.9	1486	NA	GT	start	Aved_18-Q3-R54-62_BATAC.192
Aved_18-Q3-R54-62_BATAC.192	159	gumI	Aved_18-Q3-R54-62_BATAC.192_00217	217	20.521	307	192	10	46	332	77	351	5.83e-13	75.2	tig00373300-10-8002650	55781	56950	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__	ESV461.1427;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:midas_g_461,s:midas_s_461;	100	1427	FPLP01004046.106.1591 Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;metagenome	99.9	1486	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.192
Aved_18-Q3-R54-62_BATAC.192	159	gumJ	Aved_18-Q3-R54-62_BATAC.192_00219	219	21.127	497	386	4	5	497	2	496	1.99e-83	272	tig00373300-10-8002650	58437	59948	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__	ESV461.1427;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:midas_g_461,s:midas_s_461;	100	1427	FPLP01004046.106.1591 Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;metagenome	99.9	1486	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.192
Aved_18-Q3-R54-62_BATAC.192	159	gumD	Aved_18-Q3-R54-62_BATAC.192_00222	222	34.234	222	126	5	274	484	41	253	2.04e-55	190	tig00373300-10-8002650	61919	62680	-	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__	ESV461.1427;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:midas_g_461,s:midas_s_461;	100	1427	FPLP01004046.106.1591 Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;metagenome	99.9	1486	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.192
Aved_18-Q3-R54-62_BATAC.253	210	gumJ	Aved_18-Q3-R54-62_BATAC.253_01053	1053	23.177	384	288	6	25	405	10	389	1.75e-13	79	tig00001025-10-18851330	1038152	1039645	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	Export	start	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.253	210	gumC	Aved_18-Q3-R54-62_BATAC.253_01060	1060	21.951	451	318	4	17	462	27	448	1.14e-60	216	tig00001025-10-18851330	1044169	1046310	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.253	210	gumD	Aved_18-Q3-R54-62_BATAC.253_01062	1062	33.99	203	112	3	294	482	92	286	4.97e-41	153	tig00001025-10-18851330	1047996	1048856	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.253	210	gumB	Aved_18-Q3-R54-62_BATAC.253_01063	1063	31.156	199	121	6	12	209	20	203	3.62e-34	126	tig00001025-10-18851330	1049083	1049700	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.490	313	gumD	Aved_18-Q3-R54-62_BATAC.490_02994	2994	34.634	205	112	3	294	484	30	226	1.23e-45	164	tig00373198-10-16596610	1452387	1453067	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	start	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	313	gumI	Aved_18-Q3-R54-62_BATAC.490_02995	2995	20.426	235	165	7	129	345	173	403	2.01e-09	64.8	tig00373198-10-16596610	1453061	1454281	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	313	gumH	Aved_18-Q3-R54-62_BATAC.490_02997	2997	22.539	386	236	16	1	374	1	335	3.37e-39	148	tig00373198-10-16596610	1455621	1456640	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.490	313	gumB	Aved_18-Q3-R54-62_BATAC.490_03001	3001	25.49	204	134	4	5	208	1	186	2.18e-36	131	tig00373198-10-16596610	1460556	1461125	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	100	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.5	1470	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.490
Aved_18-Q3-R54-62_BATAC.601	361	gumB	Aved_18-Q3-R54-62_BATAC.601_03374	3374	28.571	210	140	7	13	218	4	207	7.78e-34	126	tig00019310-10-1426190	52895	53551	+	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__	ESV1248.1444;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:Blastocatellales,f:Blastocatellaceae,g:Stenotrophobacter,s:midas_s_1188;	99.9	1444	DQ521486.1.1443 Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;uncultured bacterium	97.6	1443	NA	Export	start	Aved_18-Q3-R54-62_BATAC.601
Aved_18-Q3-R54-62_BATAC.601	361	gumD	Aved_18-Q3-R54-62_BATAC.601_03376	3376	28.189	486	310	9	18	483	1	467	2.54e-100	314	tig00019310-10-1426190	54864	56270	+	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__	ESV1248.1444;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:Blastocatellales,f:Blastocatellaceae,g:Stenotrophobacter,s:midas_s_1188;	99.9	1444	DQ521486.1.1443 Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;uncultured bacterium	97.6	1443	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.601
Aved_18-Q3-R54-62_BATAC.601	361	gumH	Aved_18-Q3-R54-62_BATAC.601_03379	3379	23.462	260	182	5	111	364	130	378	7.05e-05	50.8	tig00019310-10-1426190	59204	60382	+	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__	ESV1248.1444;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:Blastocatellales,f:Blastocatellaceae,g:Stenotrophobacter,s:midas_s_1188;	99.9	1444	DQ521486.1.1443 Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;uncultured bacterium	97.6	1443	NA	GT	NA	Aved_18-Q3-R54-62_BATAC.601
