ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BATAC.253	276	hasC	Aved_18-Q3-R54-62_BATAC.253_01727	1727	23.881	268	167	6	28	292	4	237	8.52e-62	203	tig00001025-10-18851330	1715202	1716083	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	PS	start	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.253	276	hasA	Aved_18-Q3-R54-62_BATAC.253_01733	1733	22.951	122	85	3	59	179	3	116	1.09e-18	91.3	tig00001025-10-18851330	1722875	1723681	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	SY	NA	Aved_18-Q3-R54-62_BATAC.253
Aved_18-Q3-R54-62_BATAC.253	276	hasB	Aved_18-Q3-R54-62_BATAC.253_01740	1740	20.833	432	292	14	3	401	24	438	2.52e-86	274	tig00001025-10-18851330	1728054	1729400	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ga0077559;s__	ESV353.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_353;	99.8	1409	KC683252.1.1482 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.6	1480	NA	PS	NA	Aved_18-Q3-R54-62_BATAC.253
Bjer_18-Q3-R1-45_BATAC.331	1539	hasC	Bjer_18-Q3-R1-45_BATAC.331_03494	3494	20.677	266	172	7	3	268	1	227	1.45e-39	143	tig00016014-10-813980	9896	10591	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__b-17BO;g__UBA4416;s__	ESV6658.1446;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_3838,s:midas_s_6658;	99.6	1446	FPLK01001342.16.1520 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;metagenome	99.3	1505	0.09513241	PS	start	Bjer_18-Q3-R1-45_BATAC.331
Bjer_18-Q3-R1-45_BATAC.331	1539	hasA	Bjer_18-Q3-R1-45_BATAC.331_03496	3496	21.101	218	142	10	66	278	2	194	3.43e-22	100	tig00016014-10-813980	11255	12004	+	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__b-17BO;g__UBA4416;s__	ESV6658.1446;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_3838,s:midas_s_6658;	99.6	1446	FPLK01001342.16.1520 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;metagenome	99.3	1505	0.09513241	SY	NA	Bjer_18-Q3-R1-45_BATAC.331
Bjer_18-Q3-R1-45_BATAC.331	1539	hasB	Bjer_18-Q3-R1-45_BATAC.331_03502	3502	24.709	429	284	12	1	401	1	418	1.13e-134	398	tig00016014-10-813980	14815	16137	-	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__b-17BO;g__UBA4416;s__	ESV6658.1446;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:env.OPS_17,g:midas_g_3838,s:midas_s_6658;	99.6	1446	FPLK01001342.16.1520 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;metagenome	99.3	1505	0.09513241	PS	NA	Bjer_18-Q3-R1-45_BATAC.331
Ejby_18-Q3-R6-50_BAT3C.203	3144	hasB	Ejby_18-Q3-R6-50_BAT3C.203_00331	331	20.423	426	289	14	2	399	8	411	1.85e-81	261	tig00000297-10-12643680	350987	352243	+	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__	ESV724.1443;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Dermatophilaceae,g:midas_g_724,s:midas_s_724;	100	1443	BAHD01000131.114.1637 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Kineosphaera;Kineosphaera limosa NBRC 100340	95.3	1524	NA	PS	start	Ejby_18-Q3-R6-50_BAT3C.203
Ejby_18-Q3-R6-50_BAT3C.203	3144	hasC	Ejby_18-Q3-R6-50_BAT3C.203_00337	337	22.932	266	169	7	29	292	2	233	4.62e-59	196	tig00000297-10-12643680	357902	358771	-	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__	ESV724.1443;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Dermatophilaceae,g:midas_g_724,s:midas_s_724;	100	1443	BAHD01000131.114.1637 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Kineosphaera;Kineosphaera limosa NBRC 100340	95.3	1524	NA	PS	NA	Ejby_18-Q3-R6-50_BAT3C.203
Ejby_18-Q3-R6-50_BAT3C.203	3144	hasA	Ejby_18-Q3-R6-50_BAT3C.203_00344	344	24.823	141	96	3	63	201	2	134	4.89e-23	103	tig00000297-10-12643680	369101	370012	+	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Austwickia;s__	ESV724.1443;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Dermatophilaceae,g:midas_g_724,s:midas_s_724;	100	1443	BAHD01000131.114.1637 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Kineosphaera;Kineosphaera limosa NBRC 100340	95.3	1524	NA	SY	NA	Ejby_18-Q3-R6-50_BAT3C.203
EsbE_18-Q3-R3-47_BAT3C.140	3615	hasC	EsbE_18-Q3-R3-47_BAT3C.140_00262	262	22.727	264	158	6	41	304	1	218	2.11e-45	163	tig00000231-10-18640980	265065	266234	+	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	ESV3802.1436;tax=d:Archaea,p:Euryarchaeota,c:Methanomicrobia,o:Methanosarcinales,f:Methanosaetaceae,g:Methanothrix,s:Methanothrix.fa	98.9	1436	AJ576227.1.1402 Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta;uncultured archaeon	99.9	1402	0.50938755	PS	start	EsbE_18-Q3-R3-47_BAT3C.140
