ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_MAXAC.030	461	epsJ	Aved_18-Q3-R54-62_MAXAC.030_01666	1666	22.609	230	155	10	4	216	1	224	7.13e-27	111	tig00032689-10-260880	2740	3486	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	SY	start	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.030	461	epsJ	Aved_18-Q3-R54-62_MAXAC.030_01668	1668	24.359	78	57	1	26	103	1	76	2.55e-14	73.3	tig00032689-10-260880	3953	4219	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.030	461	epsH	Aved_18-Q3-R54-62_MAXAC.030_01669	1669	24.324	111	76	3	6	111	2	109	6.22e-21	92.3	tig00032689-10-260880	4928	5290	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.030	461	epsH	Aved_18-Q3-R54-62_MAXAC.030_01673	1673	25.581	86	61	3	33	116	13	97	4.06e-12	68.4	tig00032689-10-260880	6681	7061	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.030	461	epsK	Aved_18-Q3-R54-62_MAXAC.030_01674	1674	23.404	188	139	2	15	198	19	205	1.08e-06	57.4	tig00032689-10-260880	7116	8678	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	Export	.	Aved_18-Q3-R54-62_MAXAC.030
Aved_18-Q3-R54-62_MAXAC.030	461	epsJ	Aved_18-Q3-R54-62_MAXAC.030_01676	1676	24.49	98	65	3	4	95	7	101	7.85e-16	79.1	tig00032689-10-260880	9088	9516	-	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV73.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	100	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.8	1500	NA	SY	.	Aved_18-Q3-R54-62_MAXAC.030
Damh_18-Q3-R51-60_BATAC.300	1607	epsK	Damh_18-Q3-R51-60_BATAC.300_01270	1270	23.936	188	138	2	15	198	19	205	7e-07	58.2	tig00004525-10-2331000	9505	11067	+	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV31.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	99.9	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.7	1500	NA	Export	start	Damh_18-Q3-R51-60_BATAC.300
Damh_18-Q3-R51-60_BATAC.300	1607	epsH	Damh_18-Q3-R51-60_BATAC.300_01271	1271	23.902	205	148	6	6	207	2	201	1.44e-22	100	tig00004525-10-2331000	11072	11836	+	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV31.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	99.9	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.7	1500	NA	SY	.	Damh_18-Q3-R51-60_BATAC.300
Damh_18-Q3-R51-60_BATAC.300	1607	epsJ	Damh_18-Q3-R51-60_BATAC.300_01274	1274	22.124	226	159	8	4	217	1	221	2.41e-30	122	tig00004525-10-2331000	12898	13851	+	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV31.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	99.9	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.7	1500	NA	SY	.	Damh_18-Q3-R51-60_BATAC.300
Damh_18-Q3-R51-60_BATAC.300	1607	epsJ	Damh_18-Q3-R51-60_BATAC.300_01276	1276	24.017	229	153	9	4	216	1	224	8.6e-27	112	tig00004525-10-2331000	14942	15808	+	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__UBA2330;s__	ESV31.1442;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:SJA-28,f:midas_f_31,g:midas_g_31,s:midas_s_31;	99.9	1442	FPLP01006939.12.1511 Bacteria;Bacteroidota;SJA-28;metagenome	99.7	1500	NA	SY	.	Damh_18-Q3-R51-60_BATAC.300
