ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.540	90	pelB	Aved_18-Q3-R54-62_BAT3C.540_04193	4193	25.706	1097	765	18	13	1097	10	1068	3.8e-179	563	tig00000023-10-69002250	5048050	5051484	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	start	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelA	Aved_18-Q3-R54-62_BAT3C.540_04194	4194	38.235	918	542	16	39	948	2	902	0	970	tig00000023-10-69002250	5051495	5054203	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Hydrolase	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelG	Aved_18-Q3-R54-62_BAT3C.540_04195	4195	49.89	455	227	1	1	454	1	455	1.13e-126	380	tig00000023-10-69002250	5054200	5055582	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelF	Aved_18-Q3-R54-62_BAT3C.540_04196	4196	56.687	501	213	3	7	504	11	510	0	575	tig00000023-10-69002250	5055583	5057133	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelE	Aved_18-Q3-R54-62_BAT3C.540_04197	4197	37.538	325	198	2	6	329	15	335	1.36e-88	274	tig00000023-10-69002250	5057130	5058149	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Polymerization	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelD	Aved_18-Q3-R54-62_BAT3C.540_04198	4198	36.627	415	256	3	14	428	16	423	3.57e-129	386	tig00000023-10-69002250	5058133	5059473	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	REG	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BAT3C.540	90	pelC	Aved_18-Q3-R54-62_BAT3C.540_04199	4199	43.125	160	89	2	13	171	18	176	2.39e-59	188	tig00000023-10-69002250	5059466	5060017	-	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	NA	Aved_18-Q3-R54-62_BAT3C.540
Aved_18-Q3-R54-62_BATAC.645_sub	369	pelA	Aved_18-Q3-R54-62_BATAC.645_sub_00834	834	37.39	912	548	18	46	947	36	934	0	1130	tig00027713-10-400140	7242	10052	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp002333125	ESV3170.1447;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Agitococcus_lubricus_group,s:midas_s_3170;	99.5	1447	FPLP01000341.9.1513 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;metagenome	98.7	1506	NA	Hydrolase	start	Aved_18-Q3-R54-62_BATAC.645_sub
Aved_18-Q3-R54-62_BATAC.645_sub	369	pelB	Aved_18-Q3-R54-62_BATAC.645_sub_00835	835	22.603	292	214	5	1	283	3	291	6.21e-24	109	tig00027713-10-400140	10015	10917	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp002333125	ESV3170.1447;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Agitococcus_lubricus_group,s:midas_s_3170;	99.5	1447	FPLP01000341.9.1513 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;metagenome	98.7	1506	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.645_sub
Aved_18-Q3-R54-62_BATAC.645_sub	369	pelB	Aved_18-Q3-R54-62_BATAC.645_sub_00836	836	21.247	786	571	16	298	1055	46	811	2.04e-24	117	tig00027713-10-400140	10914	13733	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp002333125	ESV3170.1447;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Agitococcus_lubricus_group,s:midas_s_3170;	99.5	1447	FPLP01000341.9.1513 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group;metagenome	98.7	1506	NA	Export	NA	Aved_18-Q3-R54-62_BATAC.645_sub
