operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	0	90	-1	4191	Aved_18-Q3-R54-62_BAT3C.540_04191	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	NA	NA	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.540	90	0
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	564	965	-1	4192	Aved_18-Q3-R54-62_BAT3C.540_04192	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	NA	NA	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.540	965	564
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	1031	4465	-1	4193	Aved_18-Q3-R54-62_BAT3C.540_04193	pelB	25.706	1097	765	18	13	1097	10	1068	3.8e-179	563	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	start	Aved_18-Q3-R54-62_BAT3C.540	4235	1061
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	4476	7184	-1	4194	Aved_18-Q3-R54-62_BAT3C.540_04194	pelA	38.235	918	542	16	39	948	2	902	0	970	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Hydrolase	NA	Aved_18-Q3-R54-62_BAT3C.540	7182	4482
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	7181	8563	-1	4195	Aved_18-Q3-R54-62_BAT3C.540_04195	pelG	49.89	455	227	1	1	454	1	455	1.13e-126	380	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	NA	Aved_18-Q3-R54-62_BAT3C.540	8546	7184
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	8564	10114	-1	4196	Aved_18-Q3-R54-62_BAT3C.540_04196	pelF	56.687	501	213	3	7	504	11	510	0	575	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	SY	NA	Aved_18-Q3-R54-62_BAT3C.540	10094	8597
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	10111	11130	-1	4197	Aved_18-Q3-R54-62_BAT3C.540_04197	pelE	37.538	325	198	2	6	329	15	335	1.36e-88	274	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Polymerization	NA	Aved_18-Q3-R54-62_BAT3C.540	11116	10156
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	11114	12454	-1	4198	Aved_18-Q3-R54-62_BAT3C.540_04198	pelD	36.627	415	256	3	14	428	16	423	3.57e-129	386	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	REG	NA	Aved_18-Q3-R54-62_BAT3C.540	12383	11162
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	12447	12998	-1	4199	Aved_18-Q3-R54-62_BAT3C.540_04199	pelC	43.125	160	89	2	13	171	18	176	2.39e-59	188	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	99.8	1480	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	99.4	1519	0.30156043	Export	NA	Aved_18-Q3-R54-62_BAT3C.540	12975	12501
90	Aved_18-Q3-R54-62_BAT3C.540	tig00000023-10-69002250	4199	4193	tig00000023-10-69002250	13138	14427	-1	4200	Aved_18-Q3-R54-62_BAT3C.540_04200	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Myxococcota;c__UBA727;o__;f__;g__;s__	ESV7079.1480;tax=d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:P3OB-42,g:midas_g_6017,s:midas_s_6017;	NA	NA	EU234271.1.1519 Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42;uncultured bacterium	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_BAT3C.540	14427	13138
