operon	ID	tig	max	min	seqname	start	end	strand	ProkkaNO	Target_label	Query_label	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2	end_target_plot	start_target_plot
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	0	512	1	670	Aved_18-Q3-R54-62_MAXAC.392_00670	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	NA	NA	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.392	512	0
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	640	1350	1	671	Aved_18-Q3-R54-62_MAXAC.392_00671	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	NA	NA	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.392	1350	640
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	1530	2978	-1	672	Aved_18-Q3-R54-62_MAXAC.392_00672	algI	49.715	527	213	8	1	520	1	482	7.58e-144	427	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	start	Aved_18-Q3-R54-62_MAXAC.392	2976	1533
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	3398	5662	1	673	Aved_18-Q3-R54-62_MAXAC.392_00673	algG	25.698	179	102	7	288	442	163	334	2.39e-28	126	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	NA	Aved_18-Q3-R54-62_MAXAC.392	4400	3887
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	5748	6599	1	674	Aved_18-Q3-R54-62_MAXAC.392_00674	NA	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	NA	NA	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	NA	NA	NA	NA	NA	Aved_18-Q3-R54-62_MAXAC.392	6599	5748
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	6612	8045	-1	675	Aved_18-Q3-R54-62_MAXAC.392_00675	algE	28.243	478	314	11	26	490	16	477	2.28e-161	470	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	Export	NA	Aved_18-Q3-R54-62_MAXAC.392	8043	6660
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	8112	8846	-1	676	Aved_18-Q3-R54-62_MAXAC.392_00676	algK	20.43	93	74	0	1	93	67	159	0.000113	50	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	Export	NA	Aved_18-Q3-R54-62_MAXAC.392	8589	8313
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	8847	10217	-1	677	Aved_18-Q3-R54-62_MAXAC.392_00677	algA	34.056	461	280	7	1	455	7	449	4.45e-150	440	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	PS	NA	Aved_18-Q3-R54-62_MAXAC.392	10194	8868
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	10246	11289	-1	678	Aved_18-Q3-R54-62_MAXAC.392_00678	alg44	27.273	374	225	5	6	368	5	342	2.24e-143	416	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	REG	NA	Aved_18-Q3-R54-62_MAXAC.392	11272	10261
871	Aved_18-Q3-R54-62_MAXAC.392	tig00000035-10-27699490	690	672	tig00000035-10-27699490	11526	12014	1	679	Aved_18-Q3-R54-62_MAXAC.392_00679	algA	39.474	114	63	2	362	470	25	137	1.49e-33	129	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	PS	NA	Aved_18-Q3-R54-62_MAXAC.392	11937	11601
