ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_MAXAC.392	871	algI	Aved_18-Q3-R54-62_MAXAC.392_00672	672	49.715	527	213	8	1	520	1	482	7.58e-144	427	tig00000035-10-27699490	651412	652860	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	start	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algG	Aved_18-Q3-R54-62_MAXAC.392_00673	673	25.698	179	102	7	288	442	163	334	2.39e-28	126	tig00000035-10-27699490	653280	655544	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algE	Aved_18-Q3-R54-62_MAXAC.392_00675	675	28.243	478	314	11	26	490	16	477	2.28e-161	470	tig00000035-10-27699490	656494	657927	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	Export	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algK	Aved_18-Q3-R54-62_MAXAC.392_00676	676	20.43	93	74	0	1	93	67	159	0.000113	50	tig00000035-10-27699490	657994	658728	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	Export	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algA	Aved_18-Q3-R54-62_MAXAC.392_00677	677	34.056	461	280	7	1	455	7	449	4.45e-150	440	tig00000035-10-27699490	658729	660099	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	PS	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	alg44	Aved_18-Q3-R54-62_MAXAC.392_00678	678	27.273	374	225	5	6	368	5	342	2.24e-143	416	tig00000035-10-27699490	660128	661171	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	REG	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algA	Aved_18-Q3-R54-62_MAXAC.392_00679	679	39.474	114	63	2	362	470	25	137	1.49e-33	129	tig00000035-10-27699490	661408	661896	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	PS	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algX	Aved_18-Q3-R54-62_MAXAC.392_00680	680	26.939	490	317	15	1	471	1	468	2.26e-159	465	tig00000035-10-27699490	661978	663390	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algL	Aved_18-Q3-R54-62_MAXAC.392_00682	682	32.551	341	213	8	33	364	51	383	1.67e-164	470	tig00000035-10-27699490	668356	669513	+	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	Lyase	NA	Aved_18-Q3-R54-62_MAXAC.392
Aved_18-Q3-R54-62_MAXAC.392	871	algX	Aved_18-Q3-R54-62_MAXAC.392_00683	683	25.951	447	303	11	28	460	49	481	2.87e-140	416	tig00000035-10-27699490	669529	670983	-	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	ESV2943.1409;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales,f:Micavibrionaceae,g:midas_g_2943,s:midas_s_2943;	100	1409	FPLP01001211.17.1483 Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;metagenome	99.8	1467	0.9295591	MOD	NA	Aved_18-Q3-R54-62_MAXAC.392
