ID	operon	Query_label	Target_label	ProkkaNO	Percent_identity	align_length	mismatch	gap_opens	start_query	end_query	start_target	end_target	E_value	Bit score	seqname	start	end	strand	GTDBTax	MiDAS3_6Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	max_abund	Function	operon_place	ID2
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlB	Aved_18-Q3-R54-62_BAT3C.394_04520	4520	56.765	340	145	2	7	344	3	342	2.65e-135	394	tig01608118-10-14295950	1059925	1061010	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	start	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlB	Aved_18-Q3-R54-62_BAT3C.394_04520	4520	56.765	340	145	2	7	344	3	342	2.65e-135	394	tig01608118-10-14295950	1059925	1061010	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlD	Aved_18-Q3-R54-62_BAT3C.394_04521	4521	42.568	296	161	3	1	287	1	296	4.14e-95	287	tig01608118-10-14295950	1061007	1061897	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlD	Aved_18-Q3-R54-62_BAT3C.394_04521	4521	42.568	296	161	3	1	287	1	296	4.14e-95	287	tig01608118-10-14295950	1061007	1061897	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlA	Aved_18-Q3-R54-62_BAT3C.394_04522	4522	63.542	288	102	2	2	289	10	294	2.63e-132	382	tig01608118-10-14295950	1061894	1062805	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlA	Aved_18-Q3-R54-62_BAT3C.394_04522	4522	63.542	288	102	2	2	289	10	294	2.63e-132	382	tig01608118-10-14295950	1061894	1062805	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlC	Aved_18-Q3-R54-62_BAT3C.394_04523	4523	47.458	177	89	4	2	177	1	174	5.01e-88	261	tig01608118-10-14295950	1062802	1063347	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	rmlC	Aved_18-Q3-R54-62_BAT3C.394_04523	4523	47.458	177	89	4	2	177	1	174	5.01e-88	261	tig01608118-10-14295950	1062802	1063347	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	PS	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	gelQ	Aved_18-Q3-R54-62_BAT3C.394_04524	4524	20.339	236	172	5	8	234	590	818	6.98e-38	148	tig01608118-10-14295950	1063361	1067329	+	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	GT	NA	Aved_18-Q3-R54-62_BAT3C.394
Aved_18-Q3-R54-62_BAT3C.394	1192	atrB	Aved_18-Q3-R54-62_BAT3C.394_04525	4525	22.458	236	162	6	495	728	42	258	3.42e-11	72	tig01608118-10-14295950	1067344	1068561	-	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PHCI01;s__	ESV901.1450;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_901;	100	1450	FPLP01005491.16.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	98.9	1508	0.0917491	ABC	NA	Aved_18-Q3-R54-62_BAT3C.394
